TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
1999Q4,32,2.4,0,0,0,0,20,45,30,5,0,0,2.985074626865672
1999Q4,33,1.7,0,0,0,10,80,10,0,0,0,0,1.5151515151515151
1999Q4,34,2.3,0,0,0,0,10,60,30,0,0,0,2.1739130434782608
1999Q4,36,1.9,0,0,0,0,60,40,0,0,0,0,1.9230769230769231
1999Q4,37,2.5,0,0,0,0,20,80,0,0,0,0,1.4705882352941178
1999Q4,38,1.8,0,0,0,40,60,0,0,0,0,0,1.9230769230769231
1999Q4,39,2.4,0,0,0,0,20,30,50,0,0,0,2.6315789473684212
1999Q4,40,2.5,0,0,5,15,20,30,20,10,0,0,4.878048780487805
1999Q4,41,2.3,0,0,0,0,25,75,0,0,0,0,1.6
1999Q4,42,2,0,0,0,10,40,40,10,0,0,0,2.9411764705882355
1999Q4,43,2.1,0,0,8,15,23,31,15,8,0,0,4.835589941972921
1999Q4,46,.84,20,18.5,18.5,16,16,5,5,.5,.5,0,6.07164541590771
1999Q4,47,2,0,0,0,0,50,50,0,0,0,0,2.0
1999Q4,48,2.5,0,0,0,0,0,40,60,0,0,0,1.9230769230769231
1999Q4,50,2,0,0,0,0,50,50,0,0,0,0,2.0
1999Q4,53,2.8,0,0,0,0,0,20,80,0,0,0,1.4705882352941178
1999Q4,54,2.5,0,0,0,10,15,40,20,15,0,0,3.9215686274509802
1999Q4,55,2.4,0,.2,1.4,6.4,17.2,26.6,25.3,15,6,1.9,5.125419003003495
1999Q4,56,2.2,0,0,0,0,0,70,30,0,0,0,1.7241379310344827
1999Q4,59,2.3,0,0,0,0,15,70,15,0,0,0,1.8691588785046729
1999Q4,60,2.5,0,0,0,0,10,40,50,0,0,0,2.380952380952381
1999Q4,61,2.4,0,0,0,0,20,50,30,0,0,0,2.6315789473684212
1999Q4,64,2.5,8,6,6,11,14,20,22,9,3,1,7.002801120448179
1999Q4,65,1.9,0,0,0,0,50,50,0,0,0,0,2.0
1999Q4,67,2,0,0,0,10,30,60,0,0,0,0,2.1739130434782608
1999Q4,70,2.9,0,0,0,0,25,40,20,15,0,0,3.508771929824561
1999Q4,71,1.9,0,0,5,10,40,30,10,5,0,0,3.6363636363636362
1999Q4,72,1.8,0,2,8,20,35,25,8,2,0,0,4.191114836546522
1999Q4,85,1.9,0,.9900990099,2.9702970297,7.9207920792,16.8316831683,23.7623762376,23.7623762376,15.8415841584,7.9207920792,0,5.559128065406213
1999Q4,87,2.5,0,0,0,0,20,55,20,5,0,0,2.5974025974025974
1999Q4,88,2.4,0,0,0,3,25,45,25,2,0,0,3.041362530413625
1999Q4,89,1.9,0,0,0,0,50,50,0,0,0,0,2.0
1999Q4,90,2,0,0,0,0,15,85,0,0,0,0,1.342281879194631
1999Q4,92,1.96,0,0,8.2626219771,15.6448875689,21.9028425965,22.7089520577,17.4268137463,9.8960543063,4.1578277471,0,5.789121837496762
1999Q4,94,2.4,0,0,0,0,20,50,30,0,0,0,2.6315789473684212
1999Q4,95,2.1,0,6.9306930693,6.9306930693,16.3366336634,16.3366336634,17.3267326733,17.3267326733,7.9207920792,7.9207920792,2.9702970297,7.328304597679648
""
TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
2000Q1,1,2.3,,,,,30,50,20,,,,2.6315789473684212
2000Q1,3,2.1,,,,10,30,40,20,,,,3.3333333333333335
2000Q1,5,3.3,,,,,5,25,25,35,10,,3.8461538461538463
2000Q1,7,2.3,,,,,,,,,,,1
2000Q1,9,2.1,,,,,10,70,20,,,,1.8518518518518519
2000Q1,10,2.5,,,,,5,40,50,5,,,2.4096385542168677
2000Q1,11,2.1,,,,,10,75,10,5,,,1.7094017094017093
2000Q1,14,2.7,,,,,,10,80,10,,,1.5151515151515151
2000Q1,16,2.7,,,,10,15,25,35,10,5,,4.3478260869565215
2000Q1,19,2.2,,,,,25,75,,,,,1.6
2000Q1,20,2.2,,,,,10,75,15,,,,1.680672268907563
2000Q1,23,2.5,,,,,20,30,40,10,,,3.3333333333333335
2000Q1,26,2.1,,,,10,20,40,20,10,,,3.8461538461538463
2000Q1,28,2.1,,,,,25,50,25,,,,2.6666666666666665
2000Q1,29,2.3,,,,,5,85,10,,,,1.3605442176870748
2000Q1,31,2.6,,,,,,,27.7777777778,50,22.2222222222,,2.655737704917858
2000Q1,32,2.4,,,,,15,50,30,5,,,2.73972602739726
2000Q1,33,2.3,,,,,10,80,10,,,,1.5151515151515151
2000Q1,34,2.4,,,,,,60,40,,,,1.9230769230769231
2000Q1,35,2.5,,,,10,25,40,25,,,,3.389830508474576
2000Q1,36,2.2,,,,,20,60,20,,,,2.272727272727273
2000Q1,37,2.2,,,,,,50,50,,,,2.0
2000Q1,38,2.2,,,,,,90,10,,,,1.2195121951219512
2000Q1,39,2.7,,,,,5,15,65,15,,,2.127659574468085
2000Q1,41,2.6,,,,,,20,80,,,,1.4705882352941178
2000Q1,42,2.4,,,,,5,70,25,,,,1.8018018018018018
2000Q1,46,1.73,,.4,.4,40.3,40.3,9.3,9.3,,,,2.922711808924794
2000Q1,48,2.6,,,,,,30,60,10,,,2.1739130434782608
2000Q1,52,2.5,,,,,10,70,20,,,,1.8518518518518519
2000Q1,53,2.2,,,,,10,60,30,,,,2.1739130434782608
2000Q1,54,3,,,,5,10,20,35,25,5,,4.166666666666667
2000Q1,55,2.6,.2002002002,.7007007007,2.8028028028,8.1081081081,16.5165165165,24.5245245245,26.026026026,15.3153153153,4.9049049049,.9009009009,5.304593943850004
2000Q1,56,2.3,,,,,,70,30,,,,1.7241379310344827
2000Q1,59,2.3,,,,,10,70,20,,,,1.8518518518518519
2000Q1,64,2.6,2,2,3,7,14,20,32,13,5,2,5.307855626326964
2000Q1,65,2.8,,,,,,20,50,30,,,2.6315789473684212
2000Q1,67,2.2,,,,,30,70,,,,,1.7241379310344827
2000Q1,70,2.9,,,,,,10,40,40,10,,2.9411764705882355
2000Q1,72,2.4,,,2,8,20,35,25,8,2,,4.191114836546522
2000Q1,73,2.3,,,,,25,75,,,,,1.6
2000Q1,76,2.6,,,2.5,5,10,20,25,20,10,7.5,5.839416058394161
2000Q1,85,2.3,,,,,7,60,30,3,,,2.1939447125932423
2000Q1,87,2.3,,,,,20,55,20,5,,,2.5974025974025974
2000Q1,88,2.4,,,,5,15,45,25,10,,,3.3333333333333335
2000Q1,90,2.5,,,,,,85,15,,,,1.342281879194631
2000Q1,91,2.6,,,,,2.3,34.7,53.9,9,.1,,2.3834493278672895
