TARGET_PERIOD,FCT_SOURCE,8,T9_0,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0T11_4,F11_5T11_9,F12_0,Volatility,
2005May,4,8.7,,,,,,,20,70,10,,,,,1.8518518518518519
2005May,7,8.9,,,,,,,,,,,,,,1
2005May,9,8.8,,,,,,,,70,30,,,,,1.7241379310344827
2005May,11,8.5,,,,,,,40,60,,,,,,1.9230769230769231
2005May,14,8.8,,,,,,,,50,50,,,,,2.0
2005May,15,8.7,,,,,,5,15,65,10,5,,,,2.1739130434782608
2005May,16,8.9,0,0,1,4,8,13,16,19,17,12,9,1,0,7.23589001447178
2005May,17,8.8,,,,,,15,20,30,20,15,,,,4.651162790697675
2005May,19,8,,,,,,50,50,,,,,,,2.0
2005May,20,8.8,,,,,,,15,40,35,10,,,,3.1746031746031744
2005May,22,8.9,0,0,0,0,0,0,5,45,45,5,0,0,0,2.4390243902439024
2005May,23,8.6,,,,,,1,34,60,5,,,,,2.0911752404851525
2005May,24,8.8,,,,,,,20,50,30,,,,,2.6315789473684212
2005May,26,8.7,,,,,,,25,50,25,,,,,2.6666666666666665
2005May,28,8.6,,,,,,5,25,40,25,5,,,,3.4482758620689653
2005May,31,8.9,,,,,,,,60,40,,,,,1.9230769230769231
2005May,32,8.6,,,,,,5,25,35,20,10,5,,,4.166666666666667
2005May,33,8.5,,,,,,,50,50,,,,,,2.0
2005May,35,8.6,,,,,,,20,70,10,,,,,1.8518518518518519
2005May,36,8.5,,,,,,15,35,35,15,,,,,3.4482758620689653
2005May,37,8.7,,,,,,,20,80,,,,,,1.4705882352941178
2005May,38,8.7,,,,,,,,80,20,,,,,1.4705882352941178
2005May,39,8.7,,,,,,5,25,40,25,5,,,,3.4482758620689653
2005May,41,8.9,,,,,,,,,,,,,,1
2005May,42,8.3,,,,,,,95,5,,,,,,1.1049723756906078
2005May,47,8.9,,,,,,,,,,,,,,1
2005May,48,8.5,,,,,,,,,,,,,,1
2005May,52,8.7,,,,,,,40,60,,,,,,1.9230769230769231
2005May,54,8.7,,,,,,,30,40,30,,,,,2.9411764705882355
2005May,56,8.6,,,,,,2,6,70,20,2,,,,1.8712574850299402
2005May,60,8.7,,,,,,,30,50,20,,,,,2.6315789473684212
2005May,65,8.6,,,,,,,25,50,25,,,,,2.6666666666666665
2005May,70,8.7,,,,,,,5,65,30,,,,,1.941747572815534
2005May,71,8.8,0,0,0,0,0,2,10,40,30,12,6,0,,3.5919540229885056
2005May,72,8.9,,,,,,,20,60,20,,,,,2.272727272727273
2005May,76,8.8,,,,,1,4,10,65,15,4,1,,,2.181500872600349
2005May,80,8.8402,,,,,,,,,,,,,,1
2005May,82,8.9,,,,,,,,,,,,,,1
2005May,88,8.3,,,,,5,15,35,30,10,5,,,,4.0
2005May,89,8.2,,,,,,5,25,60,10,,,,,2.2988505747126435
2005May,90,8.7,0,0,0,0,0,5,10,40,40,5,0,0,0,2.985074626865672
2005May,91,8.6,,,,,,,40,60,,,,,,1.9230769230769231
2005May,92,9,0,0,.01019241,.12481034,.97859293,4.69083454,13.76474824,24.75293765,27.29616481,18.45912296,7.65248262,2.27011351,0,5.064093163108976
2005May,93,8.6,,,,,,,40,50,10,,,,,2.380952380952381
2005May,94,8.7,,,,,,10,25,30,25,10,,,,4.25531914893617
2005May,95,8.62385412,0,0,0,0,0,7,24,42,27,0,0,0,0,3.207184092366902
2005May,96,8.5,,,,,,,40,50,10,,,,,2.380952380952381
2005May,97,8.5,,,,,,10,30,50,10,,,,,2.7777777777777777
2005May,98,8.5,,,,,5,10,38,32,10,5,,,,3.679175864606328
2005May,99,8.7,,,,,,,25,65,10,,,,,2.0202020202020203
""
TARGET_PERIOD,FCT_SOURCE,13,T5_5,F5_5T5_9,F6_0T6_4,F6_5T6_9,F7_0T7_4,F7_5T7_9,F8_0T8_4,F8_5T8_9,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0,Volatility
2005Aug,1,8.6,,,,,,10,25,35,20,10,,,,4.081632653061225
2005Aug,2,8.6,,,,,1,5,18,40,30,5,1,,,3.477051460361613
2005Aug,4,8.8,,,,,,,,80,20,,,,,1.4705882352941178
2005Aug,5,8.8,,,,,,,10,50,35,5,,,,2.5974025974025974
2005Aug,7,9.2,,,,,,,,,,,,,,1
2005Aug,9,8.6,,,,,,,30,70,,,,,,1.7241379310344827
2005Aug,10,8.37835897,.19988157,.46006083,1.73446185,4.57118521,9.42925102,15.22489676,19.24355194,19.04069818,14.74846976,8.94258824,4.24428907,1.57661947,.5840461,7.163044092330436
2005Aug,14,8.8,,,,,,,,,,,,,,1
2005Aug,15,8.8,,,,,,5,15,40,30,10,,,,3.508771929824561
2005Aug,16,8.9,0,0,1,4,8,13,16,19,17,12,9,1,0,7.23589001447178
2005Aug,17,8.7,,,,,,15,20,35,20,10,,,,4.25531914893617
2005Aug,18,9,0,0,0,0,0,10,20,45,15,10,0,0,0,3.508771929824561
2005Aug,19,7.8,,,,,,90,10,,,,,,,1.2195121951219512
2005Aug,20,8.9,,,,,,,,25,65,10,,,,2.0202020202020203
2005Aug,22,8.9,0,0,0,0,0,0,5,45,45,5,0,0,0,2.4390243902439024
2005Aug,23,8.6,,,,,,,10,50,40,,,,,2.380952380952381
2005Aug,24,8.8,,,,,,,15,55,25,5,,,,2.5641025641025643
2005Aug,26,8.8,,,,,,,25,50,25,,,,,2.6666666666666665
2005Aug,28,8.7,,,,,,,20,40,30,10,,,,3.3333333333333335
2005Aug,29,8.7,,,,,,,,100,,,,,,1.0
2005Aug,31,8.8,,,,,,,,70,30,,,,,1.7241379310344827
2005Aug,32,8.7,,,,,,5,20,35,25,10,5,,,4.166666666666667
2005Aug,33,8.8,,,,,,,,70,30,,,,,1.7241379310344827
2005Aug,35,8.6,,,,,,,20,70,10,,,,,1.8518518518518519
2005Aug,37,8.6,,,,,,,30,50,20,,,,,2.6315789473684212
2005Aug,38,8.8,,,,,,,,55,45,,,,,1.9801980198019802
2005Aug,39,8.8,,,,,,10,20,40,20,10,,,,3.8461538461538463
2005Aug,41,8.8,,,,,,,,,,,,,,1
2005Aug,42,8.7,,,,,,,,99,1,,,,,1.0201999591920015
2005Aug,47,9,,,,,,,,10,90,,,,,1.2195121951219512
2005Aug,48,8.5,,,,,,,,90,10,,,,,1.2195121951219512
2005Aug,50,8.9,,,,,,,,50,50,,,,,2.0
2005Aug,52,8.8,,,,,,,,70,30,,,,,1.7241379310344827
2005Aug,54,8.7,,,,,,,,50,50,,,,,2.0
2005Aug,56,8.8,,,,,,,10,45,40,5,,,,2.6666666666666665
2005Aug,59,8.8,,,,,,,10,60,30,,,,,2.1739130434782608
2005Aug,60,8.7,,,,,,,25,50,25,,,,,2.6666666666666665
2005Aug,61,8.8,,,,,,,,75,25,,,,,1.6
2005Aug,76,8.9,,,,,,5,10,55,25,5,,,,2.6315789473684212
2005Aug,80,8.8981,,,,,,,,,,,,,,1
2005Aug,82,9,,,,,,,,,,,,,,1
2005Aug,89,8.3,,,,,5,25,60,10,,,,,,2.2988505747126435
2005Aug,90,8.7,0,0,0,0,0,5,10,40,40,5,0,0,0,2.985074626865672
2005Aug,91,8.8,,,,,,5,35,60,,,,,,2.0618556701030926
2005Aug,92,8.9,0,0,.00003,.00314005,.13183399,2.14011101,13.59117956,34.13620681,34.13620681,13.59117956,2.14010701,.1300065,0,3.6911320097728817
2005Aug,93,8.9,,,,,,,,55,45,,,,,1.9801980198019802
2005Aug,94,8.7,,,,,,10,25,30,25,10,,,,4.25531914893617
2005Aug,95,8.6,0,0,0,0,0,0,20,51,29,0,0,0,0,2.6028110359187924
2005Aug,96,8.5,,,,,,,30,55,15,,,,,2.4096385542168677
2005Aug,97,8.6,,,,,,,10,60,30,,,,,2.1739130434782608
2005Aug,98,8.7,,,,,,,30,50,20,,,,,2.6315789473684212
2005Aug,99,8.7,,,,,,,25,65,10,,,,,2.0202020202020203
""
TARGET_PERIOD,FCT_SOURCE,13,T5_5,F5_5T5_9,F6_0T6_4,F6_5T6_9,F7_0T7_4,F7_5T7_9,F8_0T8_4,F8_5T8_9,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0,Volatility
2005Nov,2,8.6,,,,,1,5,18,40,30,5,1,,,3.477051460361613
2005Nov,4,8.7,,,,,,,15,70,15,,,,,1.8691588785046729
2005Nov,5,8.9,,,,,,,5,65,30,,,,,1.941747572815534
2005Nov,7,9,,,,,,,,,,,,,,1
2005Nov,9,8.8,,,,,,,,60,40,,,,,1.9230769230769231
2005Nov,10,8.81105825,.0464777,.13363246,.61520477,2.00453308,5.11152894,10.20185429,15.93826397,19.4921011,18.66139112,13.98603018,8.20530507,3.76803539,1.83564191,7.156435291565303
2005Nov,14,8.8,,,,,,,,,,,,,,1
2005Nov,15,8.7,,,,,,5,20,50,20,5,,,,2.985074626865672
2005Nov,16,8.8,0,0,1,4,8,13,15,19,18,12,9,1,0,7.2150072150072155
2005Nov,17,8.7,,,,,,15,20,35,20,10,,,,4.25531914893617
2005Nov,19,8.7,,,,,,,10,90,,,,,,1.2195121951219512
2005Nov,20,8.9,,,,,,,,85,15,,,,,1.342281879194631
2005Nov,22,8.8,0,0,0,0,0,0,10,45,40,5,0,0,0,2.6666666666666665
2005Nov,23,8.6,,,,,,10,35,35,20,,,,,3.389830508474576
2005Nov,24,8.7,,,,,,,15,70,15,,,,,1.8691588785046729
2005Nov,28,9,,,,,,,10,30,45,15,,,,3.076923076923077
2005Nov,31,8.8,,,,,,,,90,10,,,,,1.2195121951219512
2005Nov,32,8.7,,,,,,5,20,35,25,15,,,,4.0
2005Nov,33,8.8,,,,,,,,90,10,,,,,1.2195121951219512
2005Nov,35,8.8,,,,,,,,90,10,,,,,1.2195121951219512
2005Nov,36,8.7,,,,,,10,35,40,15,,,,,3.1746031746031744
2005Nov,37,8.6,,,,,,,30,70,,,,,,1.7241379310344827
2005Nov,38,8.7,,,,,,,,80,20,,,,,1.4705882352941178
2005Nov,39,8.6,,,,,,10,30,40,15,5,,,,3.508771929824561
2005Nov,41,8.8,,,,,,,,,,,,,,1
2005Nov,42,8.5,,,,,,,10,90,,,,,,1.2195121951219512
2005Nov,47,8.9,,,,,,,,60,40,,,,,1.9230769230769231
2005Nov,49,8.9,,,,,,,25,50,25,,,,,2.6666666666666665
2005Nov,50,8.8,,,,,,,,100,,,,,,1.0
2005Nov,52,8.8,,,,,,,,90,10,,,,,1.2195121951219512
2005Nov,54,8.7,,,,,,,30,50,20,,,,,2.6315789473684212
2005Nov,56,8.8,1,2,3,4,5,6,10,33,20,8,5,2,1,5.636978579481397
2005Nov,59,8.8,,,,,,,10,85,5,,,,,1.3605442176870748
2005Nov,60,8.6,,,,,,,30,50,20,,,,,2.6315789473684212
2005Nov,61,8.5,,,,,,,30,50,20,,,,,2.6315789473684212
2005Nov,68,8.6,1,1,1,2,4,9,22,26,19,10,3,1,1,5.760368663594469
2005Nov,70,8.8,,,,,,,,70,30,,,,,1.7241379310344827
2005Nov,72,8.7,,,,,,,,70,30,,,,,1.7241379310344827
2005Nov,76,9,,,,,,,5,30,50,10,5,,,2.816901408450704
2005Nov,80,8.7031,,,,,,,,,,,,,,1
2005Nov,82,9,,,,,,,,,,,,,,1
2005Nov,88,8.9,,,,,,5,15,35,30,10,5,,,4.0
2005Nov,89,8.1,,,,,5,25,60,10,,,,,,2.2988505747126435
2005Nov,90,8.7,0,0,0,0,0,5,10,40,40,5,0,0,0,2.985074626865672
2005Nov,91,8.3,,,,,,35,40,25,,,,,,2.898550724637681
2005Nov,92,8.6,0,0,.72541127,2.220056,6.1760788,12.71444572,19.37286864,21.85039252,18.24171209,11.27296365,5.1559578,2.27011351,0,6.4533585254759345
2005Nov,93,8.8,,,,,,,,80,20,,,,,1.4705882352941178
2005Nov,94,8.7,,,,,,10,25,30,25,10,,,,4.25531914893617
2005Nov,95,8.7,0,0,0,0,0,2,19,51,27,1,0,0,0,2.7056277056277054
2005Nov,96,8.6,,,,,,,35,55,10,,,,,2.2988505747126435
2005Nov,98,8.6,,,,,,,,,,,,,,1
2005Nov,99,8.5,,,,,,,25,65,10,,,,,2.0202020202020203
""
TARGET_PERIOD,FCT_SOURCE,13,T5_5,F5_5T5_9,F6_0T6_4,F6_5T6_9,F7_0T7_4,F7_5T7_9,F8_0T8_4,F8_5T8_9,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0,Volatility
2006Feb,1,8.8,0,0,0,0,0,10,25,25,25,10,5,0,0,4.761904761904762
2006Feb,2,8.8,,,,,1,5,18,42,30,4,,,,3.3003300330033003
2006Feb,3,8.5,0,0,0,0,0,20,30,30,20,0,0,0,0,3.8461538461538463
2006Feb,4,8.6,,,,,,,20,70,10,,,,,1.8518518518518519
2006Feb,5,8.9,,,,,,,5,60,35,,,,,2.0618556701030926
2006Feb,7,9,,,,,,,,,,,,,,1
2006Feb,9,8.7,,,,,,,25,50,25,,,,,2.6666666666666665
2006Feb,14,8.9,,,,,,,10,70,20,,,,,1.8518518518518519
2006Feb,15,8.7,,,,,,5,20,50,20,5,,,,2.985074626865672
2006Feb,16,8.8,0,0,1,4,8,13,15,19,18,12,9,1,0,7.2150072150072155
2006Feb,17,8.9,,,,,5,10,15,25,25,15,5,,,5.405405405405405
2006Feb,19,8.4,,,,,,,70,30,,,,,,1.7241379310344827
2006Feb,20,9.3,,,,,,,,10,80,10,,,,1.5151515151515151
2006Feb,22,8.8,0,0,0,0,0,0,5,50,40,5,0,0,0,2.4096385542168677
2006Feb,23,8.7,,,,,,10,35,35,20,,,,,3.389830508474576
2006Feb,24,8.7,,,,,,,15,70,15,,,,,1.8691588785046729
2006Feb,28,8.8,,,,,,10,25,30,25,10,,,,4.25531914893617
2006Feb,31,8.7,,,,,,,,90,10,,,,,1.2195121951219512
2006Feb,33,8.2,,,,,,20,60,20,,,,,,2.272727272727273
2006Feb,35,8.6,,,,,,,30,60,10,,,,,2.1739130434782608
2006Feb,36,8.4,,,,,,15,45,35,5,,,,,2.857142857142857
2006Feb,37,8.6,,,,,,,40,60,,,,,,1.9230769230769231
2006Feb,38,8.8,,,,,,,10,80,10,,,,,1.5151515151515151
2006Feb,39,8.6,,,,,,10,20,45,20,5,,,,3.389830508474576
2006Feb,41,8.8,,,,,,,,,,,,,,1
2006Feb,47,8.9,,,,,,,,50,40,10,,,,2.380952380952381
2006Feb,48,8.7,,,,,,,,,,,,,,1
2006Feb,50,8.8,,,,,,,,80,20,,,,,1.4705882352941178
2006Feb,52,8.5,,,,,,,15,85,,,,,,1.342281879194631
2006Feb,54,8.7,,,,,,,10,60,30,,,,,2.1739130434782608
2006Feb,56,8.7,,,,,,,15,50,35,,,,,2.5316455696202533
2006Feb,59,8.8,,,,,,,,65,35,,,,,1.834862385321101
2006Feb,60,8.6,,,,,,15,40,35,10,,,,,3.1746031746031744
2006Feb,63,8.7,,,,,,,30,50,20,,,,,2.6315789473684212
2006Feb,70,9,,,,,,,,40,60,,,,,1.9230769230769231
2006Feb,76,8.9,,,,,,2.5,10,60,25,2.5,,,,2.3054755043227666
2006Feb,80,8.6955,,,,,,,,,,,,,,1
2006Feb,82,9,,,,,,,,,,,,,,1
2006Feb,88,8.7,,,,,,,10,35,35,15,5,,,3.5714285714285716
2006Feb,89,8.5,,,,,,5,20,50,20,5,,,,2.985074626865672
2006Feb,90,8.7,0,0,0,0,0,0,5,60,30,5,0,0,0,2.197802197802198
2006Feb,92,9.5,0,.03000013,.50000214,.79000338,1.79000766,2.79048394,7.30913128,15.17006493,21.33009129,22.59009669,18.00007704,6.50002782,3.2000137,6.1079941324939995
2006Feb,93,8.8,,,,,,,,80,20,,,,,1.4705882352941178
2006Feb,95,8.7,0,0,0,0,0,0,6,48,40,6,0,0,0,2.5150905432595576
2006Feb,96,8.6,,,,,,,25,50,25,,,,,2.6666666666666665
2006Feb,97,8.7,,,,,,5,20,50,20,5,,,,2.985074626865672
2006Feb,98,8.5,,,,,,5,38,42,15,,,,,2.891844997108155
2006Feb,99,8.5,,,,,,,25,65,10,,,,,2.0202020202020203
""
TARGET_PERIOD,FCT_SOURCE,13,T5_5,F5_5T5_9,F6_0T6_4,F6_5T6_9,F7_0T7_4,F7_5T7_9,F8_0T8_4,F8_5T8_9,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0,Volatility
2006May,1,8.8,,,,,,10,24,27,24,10,5,,,4.748338081671415
2006May,5,8.7,,,,,,,10,60,30,,,,,2.1739130434782608
2006May,9,8.8,,,,,,,25,50,25,,,,,2.6666666666666665
2006May,14,8.9,,,,,,,,,,,,,,1
2006May,16,8.7,0,0,1,4,8,13,15,19,18,12,9,1,0,7.2150072150072155
2006May,17,8.5,,,5,10,10,10,15,15,10,10,5,5,5,9.523809523809524
2006May,18,8.8,,,,,,,,,,,,,,1
2006May,19,8.2,,,,,,70,30,,,,,,,1.7241379310344827
2006May,20,9,,,,,,,,25,75,,,,,1.6
2006May,23,8.8,,,,,,10,30,40,20,,,,,3.3333333333333335
2006May,24,8.6,,,,,,,30,55,15,,,,,2.4096385542168677
2006May,28,8.6,,,,,,20,40,30,10,,,,,3.3333333333333335
2006May,31,8.7,,,,,,,20,80,,,,,,1.4705882352941178
2006May,32,8.5,,,,,,,15,50,20,10,5,,,3.076923076923077
2006May,33,8.6,,,,,,,25,50,25,,,,,2.6666666666666665
2006May,35,8.5,,,,,,,20,60,20,,,,,2.272727272727273
2006May,37,8.5,,,,,,,50,50,,,,,,2.0
2006May,38,8.8,,,,,,,,100,,,,,,1.0
2006May,39,8.56,,,,,,5,35,45,15,,,,,2.857142857142857
2006May,41,8.8,,,,,,,,,,,,,,1
2006May,42,8.4,,,,,,,99,1,,,,,,1.0201999591920015
2006May,47,8.9,,,,,,,,,,,,,,1
2006May,48,8.6,,,,,,,,,,,,,,1
2006May,50,8.6,,,,,,,25,75,,,,,,1.6
2006May,52,8.8,,,,,,,10,60,30,,,,,2.1739130434782608
2006May,54,8.5,,,,,,10,40,40,10,,,,,2.9411764705882355
2006May,59,8.9,,,,,,,5,80,15,,,,,1.5037593984962405
2006May,60,8.6,,,,,,10,30,45,15,,,,,3.076923076923077
2006May,63,8.7,,,,,,,20,60,20,,,,,2.272727272727273
2006May,70,8.7,,,,,,,15,75,10,,,,,1.680672268907563
2006May,72,8.9,,,,,,,5,75,20,,,,,1.6528925619834711
2006May,76,9.3,,,,,,,,,,,,,,1
2006May,80,8.8,,,,,,,,,,,,,,1
2006May,82,9.2,,,,,,,,,,,,,,1
2006May,89,8.4,,,,,,5,20,50,20,5,,,,2.985074626865672
2006May,90,8.8,0,0,0,0,0,0,25,50,25,0,0,0,0,2.6666666666666665
2006May,92,9.1,0,.03000012,.50000205,.79000325,1.79000735,6.17579538,12.71387136,15.17006233,21.33008764,22.59009282,15.21006249,3.50001438,.20000082,6.0867461177781665
2006May,94,8.7,0,0,0,0,0,5,20,50,20,5,0,0,0,2.985074626865672
2006May,95,8.7,0,0,0,0,0,0,12,55,31,2,0,0,0,2.4189646831156266
2006May,96,8.4,,,,,,,45,40,15,,,,,2.5974025974025974
2006May,97,8.8,,,,,,,5,80,15,,,,,1.5037593984962405
2006May,98,8.5,,,,,,,,,,,,,,1
""
TARGET_PERIOD,FCT_SOURCE,13,T5_5,F5_5T5_9,F6_0T6_4,F6_5T6_9,F7_0T7_4,F7_5T7_9,F8_0T8_4,F8_5T8_9,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0,Volatility
2006Aug,3,8.6,0,0,0,0,0,15,25,25,20,15,0,0,0,4.761904761904762
2006Aug,4,8.6,,,,,,,50,50,,,,,,2.0
2006Aug,5,8.3,,,,,5,10,60,20,5,,,,,2.4096385542168677
2006Aug,7,8.5,,,,,,,,,,,,,,1
2006Aug,9,8.6,,,,,,,5,70,25,,,,,1.8018018018018018
2006Aug,14,8.4,,,,,,,,,,,,,,1
2006Aug,15,8.5,,,,,,5,40,45,10,,,,,2.6666666666666665
2006Aug,16,8.5,0,0,1,2,5,12,21,27,19,8,5,0,0,5.574136008918617
2006Aug,19,8.3,,,,,,,80,20,,,,,,1.4705882352941178
2006Aug,20,8.4,,,,,,,55,45,,,,,,1.9801980198019802
2006Aug,22,8.4,0,0,0,0,0,10,50,40,0,0,0,0,0,2.380952380952381
2006Aug,24,8.4,,,,,,5,50,40,5,,,,,2.4096385542168677
2006Aug,26,8.4,,,,,,15,40,40,5,,,,,2.898550724637681
2006Aug,28,8.3,,,,,,20,50,30,,,,,,2.6315789473684212
2006Aug,31,8.5,,,,,,,45,55,,,,,,1.9801980198019802
2006Aug,33,8,,,,,10,40,40,10,,,,,,2.9411764705882355
2006Aug,35,8.5,,,,,,,40,60,,,,,,1.9230769230769231
2006Aug,36,8.3,,,,,,10,45,35,10,,,,,2.898550724637681
2006Aug,37,8.5,,,,,,,60,40,,,,,,1.9230769230769231
2006Aug,38,8.5,,,,,,,10,60,30,,,,,2.1739130434782608
2006Aug,39,8.4,,,,,,15,40,35,10,,,,,3.1746031746031744
2006Aug,41,8.5,,,,,,,,,,,,,,1
2006Aug,42,8.3,,,,,,15,40,35,10,,,,,3.1746031746031744
2006Aug,50,8.4,,,,,,,50,50,,,,,,2.0
2006Aug,52,8.5,,,,,,,10,60,30,,,,,2.1739130434782608
2006Aug,54,8.4,,,,,,10,80,10,,,,,,1.5151515151515151
2006Aug,56,8.6,,,,,,,30,60,10,,,,,2.1739130434782608
2006Aug,59,8.5,,,,,,,50,50,,,,,,2.0
2006Aug,60,8.5,,,,,,10,30,45,15,,,,,3.076923076923077
2006Aug,61,8.5,,,,,,,40,50,10,,,,,2.380952380952381
2006Aug,63,8.3,,,,,,20,60,20,,,,,,2.272727272727273
2006Aug,70,8.5,,,,,,,65,35,,,,,,1.834862385321101
2006Aug,80,8.355,,,,,,,,,,,,,,1
2006Aug,88,8.6,,,,,,10,20,35,25,10,,,,4.081632653061225
2006Aug,89,8.2,,,,,5,20,40,30,5,,,,,3.389830508474576
2006Aug,90,8.6,0,0,0,0,0,15,30,40,15,0,0,0,0,3.389830508474576
2006Aug,92,9,0,.03000087,.5000145,.79002291,1.79005191,7.30931197,14.16841088,15.17043994,21.33061859,22.59065513,12.7103686,3.41009889,.2000058,6.146482749796119
2006Aug,93,8.5,,,,,,,40,60,,,,,,1.9230769230769231
2006Aug,94,8.6,0,0,0,0,0,5,20,50,20,5,0,0,0,2.985074626865672
2006Aug,95,8.63446393,0,0,0,0,0,0,20,60,20,0,0,0,0,2.272727272727273
2006Aug,96,8.4,,,,,,,35,45,20,,,,,2.73972602739726
2006Aug,97,8.4,,,,,,,15,75,10,,,,,1.680672268907563
2006Aug,99,8.5,,,,,,5,40,45,10,,,,,2.6666666666666665
""
TARGET_PERIOD,FCT_SOURCE,13,T5_5,F5_5T5_9,F6_0T6_4,F6_5T6_9,F7_0T7_4,F7_5T7_9,F8_0T8_4,F8_5T8_9,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0,Volatility
2006Nov,1,8.1,,,,,10,35,45,10,,,,,,2.898550724637681
2006Nov,2,7.9,,,,8,25,30,28,9,,,,,,4.074979625101875
2006Nov,4,8,,,,,5,50,40,5,,,,,,2.4096385542168677
2006Nov,5,8,,,,,10,30,50,10,,,,,,2.7777777777777777
2006Nov,7,8,,,,,,,,,,,,,,1
2006Nov,10,7.9,.62096799,1.16546776,3.6934932,8.08668121,13.85869634,18.59190395,19.52495921,16.05182117,10.33033805,5.20402184,2.0518964,.63316487,.18658801,7.1641895800682835
2006Nov,11,8,,,,,,40,50,10,,,,,,2.380952380952381
2006Nov,14,8,,,,,,50,50,,,,,,,2.0
2006Nov,15,8,,,,,,30,50,20,,,,,,2.6315789473684212
2006Nov,16,8,0,0,1,2,6,23,24,20,10,8,5,1,0,5.760368663594469
2006Nov,18,7.9,,,,,,,,,,,,,,1
2006Nov,19,8.3,,,,,,,80,20,,,,,,1.4705882352941178
2006Nov,20,8.2,,,,,,20,80,,,,,,,1.4705882352941178
2006Nov,22,8.1,0,0,0,0,0,30,60,10,0,0,0,0,0,2.1739130434782608
2006Nov,23,7.9,,,,,10,40,30,20,,,,,,3.3333333333333335
2006Nov,24,8.1,,,,,10,25,45,20,,,,,,3.1746031746031744
2006Nov,26,8,,,,,,35,45,15,5,,,,,2.857142857142857
2006Nov,29,8.1,0,0,0,0,0,20,50,30,0,0,0,0,0,2.6315789473684212
2006Nov,30,8.2,,,,,,20,60,20,,,,,,2.272727272727273
2006Nov,31,8,,,,,,45,55,,,,,,,1.9801980198019802
2006Nov,32,8,,,,1,5,35,35,18,5,1,,,,3.538570417551309
2006Nov,33,7.8,,,,,10,80,10,,,,,,,1.5151515151515151
2006Nov,35,8.2,,,,,,,80,20,,,,,,1.4705882352941178
2006Nov,36,7.9,,,,,5,45,40,10,,,,,,2.6666666666666665
2006Nov,37,7.8,,,,,,65,35,,,,,,,1.834862385321101
2006Nov,38,8.2,,,,,,10,80,10,,,,,,1.5151515151515151
2006Nov,39,7.8,,,,,25,40,30,5,,,,,,3.1746031746031744
2006Nov,41,8.1,,,,,,,,,,,,,,1
2006Nov,42,8.1,,,,,,5,95,,,,,,,1.1049723756906078
2006Nov,47,7.9,,,,,,,,,,,,,,1
2006Nov,50,8.2,,,,,,20,80,,,,,,,1.4705882352941178
2006Nov,52,7.8,,,,,,78.94736842,21.05263158,,,,,,,1.4979253112306676
2006Nov,54,8.1,,,,,,20,80,,,,,,,1.4705882352941178
2006Nov,56,8.4,,,,,,10,60,30,,,,,,2.1739130434782608
2006Nov,59,8.2,,,,,,35,65,,,,,,,1.834862385321101
2006Nov,60,8.1,,,,,,25,60,15,,,,,,2.247191011235955
2006Nov,61,8,,,,,10,50,40,,,,,,,2.380952380952381
2006Nov,70,8.4,,,,,,20,55,25,,,,,,2.4691358024691357
2006Nov,76,8.5,,,,,,,,,,,,,,1
2006Nov,80,8.382,,,,,,,,,,,,,,1
2006Nov,88,8.1,,,,5,10,25,35,20,5,,,,,4.166666666666667
2006Nov,89,7.6,,,,,20,40,30,10,,,,,,3.3333333333333335
2006Nov,90,8.3,0,0,0,0,5,15,55,20,5,0,0,0,0,2.7027027027027026
2006Nov,91,8,0,0,3.772,7.3091,14.168,20.3271,21.5879,16.9704,9.8748,4.2526,1.3551,.3194,.0636,6.438550177724095
2006Nov,93,8,,,,,,40,60,,,,,,,1.9230769230769231
2006Nov,94,8,,,,,5,25,50,15,5,,,,,2.9411764705882355
2006Nov,95,8,0,0,0,0,11,50,28,11,0,0,0,0,0,2.836074872376631
2006Nov,96,7.9,,,,,8,45,35,10,2,,,,,2.925687536571094
2006Nov,97,8.1,,,,,,15,70,15,,,,,,1.8691588785046729
2006Nov,99,8.3,,,,,,10,45,35,10,,,,,2.898550724637681
2006Nov,100,7.8,,,.5,7,20,45,20,7,.5,,,,,3.4205575508807935
""
TARGET_PERIOD,FCT_SOURCE,13,T5_5,F5_5T5_9,F6_0T6_4,F6_5T6_9,F7_0T7_4,F7_5T7_9,F8_0T8_4,F8_5T8_9,F9_0T9_4,F9_5T9_9,F10_0T10_4,F10_5T10_9,F11_0,Volatility
2007Feb,1,8.1,,,,5,18,28,28,15,6,,,,,4.591368227731864
2007Feb,2,7.9,,,,6,25,36,26,7,,,,,,3.728560775540642
2007Feb,3,8,,,,,,50,50,,,,,,,2.0
2007Feb,4,7.9,,,,,,60,40,,,,,,,1.9230769230769231
2007Feb,5,7.9,,,,5,25,50,20,,,,,,,2.816901408450704
2007Feb,7,7.9,,,,,,,,,,,,,,1
2007Feb,9,8,,,,,10,40,40,10,,,,,,2.9411764705882355
