TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2004Mar,4,1.3,,,5,55,35,5,,,,2.3255813953488373,,,
2004Mar,5,1.7,,,,10,85,5,,,,1.3605442176870748,,,
2004Mar,7,1,,,,,,,,,,1,,,
2004Mar,9,2,,,,10,50,40,,,,2.380952380952381,,,
2004Mar,11,1.3,,,20,50,30,,,,,2.6315789473684212,,,
2004Mar,14,1.3,,,20,60,20,,,,,2.272727272727273,,,
2004Mar,16,1.8,0,2,10,22,24,19,15,5,3,5.605381165919282,,,
2004Mar,17,1.5,,5,10,20,35,15,10,5,,4.761904761904762,,,
2004Mar,20,1.3,,,,75,25,,,,,1.6,,,
2004Mar,22,1.4,0,5,15,30,40,7,3,,,3.5612535612535616,,,
2004Mar,23,1,,10,25,30,20,10,5,,,4.651162790697675,,,
2004Mar,24,1,,10,35,40,10,5,,,,3.278688524590164,,,
2004Mar,26,1.3,,,10,50,30,10,,,,2.7777777777777777,,,
2004Mar,29,1.5,,,,25,70,5,,,,1.8018018018018018,,,
2004Mar,31,1.7,,,,20,60,20,,,,2.272727272727273,,,
2004Mar,32,1.8,,,5,15,35,30,10,5,,4.0,,,
2004Mar,33,2,,,,,50,50,,,,2.0,,,
2004Mar,35,2.2,,,,,10,90,,,,1.2195121951219512,,,
2004Mar,37,1.9,,,,,60,40,,,,1.9230769230769231,,,
2004Mar,41,1.8,,,,,,,,,,1,,,
2004Mar,47,1.4,,,,90,10,,,,,1.2195121951219512,,,
2004Mar,48,1.7,,,,5,80,15,,,,1.5037593984962405,,,
2004Mar,50,1.6,,,,25,50,25,,,,2.6666666666666665,,,
2004Mar,52,1.3,,,10,40,30,20,,,,3.3333333333333335,,,
2004Mar,53,1.7,,,,,70,30,,,,1.7241379310344827,,,
2004Mar,54,1.2,,,10,40,40,10,,,,2.9411764705882355,,,
2004Mar,56,1.2,0,2,7,50,30,7,2,1.5,.5,2.850220892119139,,,
2004Mar,57,1.9,,,,,,,,,,1,,,
2004Mar,59,1.4,,5,30,60,5,,,,,2.197802197802198,,,
2004Mar,60,1.5,,,20,30,25,15,10,,,4.444444444444445,,,
2004Mar,67,2.4,,,,5,10,30,25,20,10,4.651162790697675,,,
2004Mar,71,1.5,0,7,13,30,25,15,7,3,0,4.93583415597236,,,
2004Mar,72,1.3,1,8,16,22,18,12,10,7,6,6.858710562414266,,,
2004Mar,73,1,,,20,70,10,,,,,1.8518518518518519,,,
2004Mar,76,.9,1,5,35,30,20,5,3,1,,3.8669760247486464,,,
2004Mar,82,1.5,,,10,35,35,15,5,,,3.5714285714285716,,,
2004Mar,84,1.8,0,0,2,16,40,31,10,1,0,3.422313483915126,,,
2004Mar,85,1.6,,,5,10,50,20,10,5,,3.1746031746031744,,,
2004Mar,87,1.2,,,20,35,30,10,5,,,3.7735849056603774,,,
2004Mar,89,1.7,,,,5,50,35,10,,,2.5974025974025974,,,
2004Mar,90,1.6,,,,5,90,5,,,,1.2269938650306749,,,
2004Mar,91,1.8,0,.5,5,21.9,38.1,26.4,7.3,.8,0,3.6936351279475206,,,
2004Mar,92,1.6,1.11349991,3.21014443,11.54128451,22.88827602,27.83279802,20.75605278,9.48995836,2.65800431,.50998164,5.072326076607745,,,
2004Mar,93,2.1,,,,,30,70,,,,1.7241379310344827,,,
2004Mar,94,2,,,,10,25,30,25,10,,4.25531914893617,,,
2004Mar,95,1.6,1,4,15,29,26,16,7,1,1,4.84027105517909,,,
2004Mar,96,2.1,,,2,18,30,35,10,5,,3.8789759503491075,,,
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,,
2004Jun,2,1.8,,,,25,50,25,,,,2.6666666666666665,,,
2004Jun,4,1.5,,,,,,,,,,1,,,
2004Jun,9,1.7,,,,20,50,30,,,,2.6315789473684212,,,
2004Jun,10,1.57856433,1.76563689,4.03863028,12.47555726,22.31090859,25.99785111,19.74100219,9.76622873,3.14628285,.75790209,5.422133878402938,,,
2004Jun,11,1.3,,,10,60,30,,,,,2.1739130434782608,,,
2004Jun,14,1.1,,,30,70,,,,,,1.7241379310344827,,,
2004Jun,15,1.4,,,10,25,35,25,5,,,3.8461538461538463,,,
2004Jun,16,1.5,0,2,10,23,24,18,15,5,3,5.580357142857143,,,
2004Jun,17,.6,5,20,35,20,15,5,,,,4.3478260869565215,,,
2004Jun,19,1.3,,,,90,10,,,,,1.2195121951219512,,,
2004Jun,20,1.7,,,,10,80,10,,,,1.5151515151515151,,,
2004Jun,23,1.7,,,5,20,50,20,5,,,2.985074626865672,,,
2004Jun,24,1,,10,35,40,10,5,,,,3.278688524590164,,,
2004Jun,26,1.5,,5,15,30,30,15,5,,,4.3478260869565215,,,
2004Jun,29,1.4,,,10,60,30,,,,,2.1739130434782608,,,
2004Jun,32,1.7,,,5,20,30,30,10,5,,4.25531914893617,,,
2004Jun,33,1.8,,,,,100,,,,,1.0,,,
2004Jun,35,1.9,,,,,70,30,,,,1.7241379310344827,,,
2004Jun,36,2.2,,,5,10,25,35,20,5,,4.166666666666667,,,
2004Jun,37,1.8,,,,,70,30,,,,1.7241379310344827,,,
2004Jun,39,1.6,,,5,30,45,20,,,,2.985074626865672,,,
2004Jun,41,1.6,,,,,,,,,,1,,,
2004Jun,42,1.7,,,,20,60,20,,,,2.272727272727273,,,
2004Jun,47,1.5,,,,30,60,10,,,,2.1739130434782608,,,
2004Jun,52,1.5,,,2,50,40,8,,,,2.399232245681382,,,
2004Jun,53,1.4,,,20,70,10,,,,,1.8518518518518519,,,
2004Jun,54,1.2,,10,40,40,10,,,,,2.9411764705882355,,,
2004Jun,56,1.5,,,5,40,40,15,,,,2.898550724637681,,,
2004Jun,57,1.6,,,,,,,,,,1,,,
2004Jun,59,1.1,,10,35,50,5,,,,,2.5974025974025974,,,
2004Jun,60,1.5,,5,25,30,20,15,5,,,4.545454545454546,,,
2004Jun,63,1.3,,,,,,,,,,1,,,
2004Jun,71,1.1,0,10,25,40,20,5,0,0,0,3.6363636363636362,,,
2004Jun,72,1.5,1,8,14,20,20,14,10,7,6,6.934812760055479,,,
2004Jun,73,1.5,,,,50,50,,,,,2.0,,,
2004Jun,76,1,1,10,35,40,7.5,5,1.5,,,3.322811098189068,,,
2004Jun,80,.9,,,,,,,,,,1,,,
2004Jun,82,1.1,,5,30,35,25,5,,,,3.5714285714285716,,,
2004Jun,84,1.5,0,1,10,31,32,25,1,0,0,3.687315634218289,,,
2004Jun,85,1.9,,,5,20,40,30,5,,,3.389830508474576,,,
2004Jun,87,1.5,,,,20,35,30,10,5,,3.7735849056603774,,,
2004Jun,89,1.7,,,,5,50,35,10,,,2.5974025974025974,,,
2004Jun,90,1.4,,,,,5,90,5,,,1.2269938650306749,,,
2004Jun,91,1.9,0,.3003003,6.40640641,33.43343343,44.04404404,14.61461461,1.2012012,0,0,3.017652342016694,,,
2004Jun,92,1.8,.50641872,1.7686609,7.65237783,18.45883606,27.29575535,24.75256634,13.76458176,4.69076418,1.11003885,5.068117776334869,,,
2004Jun,93,1.9,,,,,60,40,,,,1.9230769230769231,,,
2004Jun,95,1.6,0,5,17,26,29,19,4,0,0,4.528985507246376,,,
2004Jun,96,1.9,,,2,18,35,30,10,5,,3.8789759503491075,,,
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,,
2004Sep,1,1.5,,,10,20,25,20,15,10,,5.405405405405405,,,
2004Sep,3,1.8,0,0,10,20,30,30,10,0,0,4.166666666666667,,,
2004Sep,4,1.6,,,,10,60,20,10,,,2.380952380952381,,,
2004Sep,5,1.8,,,,15,70,15,,,,1.8691588785046729,,,
2004Sep,7,1.4,,,,,,,,,,1,,,
2004Sep,10,1.59467053,1.67421062,3.88498761,12.15719105,22.04374896,26.04334945,20.05027911,10.05714181,3.28511676,.80397463,5.42159844794414,,,
2004Sep,11,1.7,,,,20,70,10,,,,1.8518518518518519,,,
2004Sep,14,1.5,,,,,,,,,,1,,,
2004Sep,15,1.5,,,,30,45,20,5,,,2.985074626865672,,,
2004Sep,16,1.6,0,2,10,23,24,18,15,5,3,5.580357142857143,,,
2004Sep,17,.8,5,20,35,20,15,5,,,,4.3478260869565215,,,
2004Sep,19,1.2,,,,100,,,,,,1.0,,,
2004Sep,20,1.8,,,,,80,20,,,,1.4705882352941178,,,
2004Sep,22,1.8,0,5,10,20,40,20,5,,,3.9215686274509802,,,
2004Sep,23,1.5,,5,15,30,30,15,5,,,4.3478260869565215,,,
2004Sep,24,1.3,,5,15,45,30,5,,,,3.125,,,
2004Sep,26,1.9,,,5,15,35,30,10,5,,4.0,,,
2004Sep,29,1.5,,,,15,75,10,,,,1.680672268907563,,,
2004Sep,31,1.5,,,,40,50,10,,,,2.380952380952381,,,
2004Sep,32,1.8,,,5,20,35,25,10,5,,4.166666666666667,,,
2004Sep,33,1.8,,,,,100,,,,,1.0,,,
2004Sep,35,1.9,,,,,60,40,,,,1.9230769230769231,,,
2004Sep,36,2.2,,,5,10,25,35,20,5,,4.166666666666667,,,
2004Sep,37,2,,,,,55,45,,,,1.9801980198019802,,,
2004Sep,38,1.6,,,,,70,30,,,,1.7241379310344827,,,
2004Sep,39,1.2,,5,25,40,25,5,,,,3.4482758620689653,,,
2004Sep,41,1.8,,,,,,,,,,1,,,
2004Sep,42,1.8,,,,10,60,30,,,,2.1739130434782608,,,
2004Sep,47,2.1,,,,,40,60,,,,1.9230769230769231,,,
2004Sep,48,2.1,,,,,,,,,,1,,,
2004Sep,49,1.6,5,5,5,15,40,20,10,,,4.166666666666667,,,
2004Sep,50,1.9,,,,,80,20,,,,1.4705882352941178,,,
2004Sep,52,1.5,,,,25,50,25,,,,2.6666666666666665,,,
2004Sep,53,1.6,,,,20,60,20,,,,2.272727272727273,,,
2004Sep,54,1.9,,,,20,50,30,,,,2.6315789473684212,,,
2004Sep,56,1.8,,,,10,50,40,,,,2.380952380952381,,,
2004Sep,59,1.2,,,25,65,10,,,,,2.0202020202020203,,,
2004Sep,60,1.4,,10,25,30,20,10,5,,,4.651162790697675,,,
2004Sep,61,1.4,,,,15,50,25,10,,,2.898550724637681,,,
2004Sep,67,2,,,,,,,,,,1,,,
2004Sep,73,1.7,,,,,,,,,,1,,,
2004Sep,76,1.1,0,6.5,20,40,20,7.5,5,1,,3.9611804317686667,,,
2004Sep,82,1.1,,,,,,,,,,1,,,
2004Sep,84,1.6,0,1,10,26,37,25,1,0,0,3.6075036075036073,,,
2004Sep,85,1.7,,,5,25,60,10,,,,2.2988505747126435,,,
2004Sep,88,1.6,,,5,25,50,15,5,,,2.9411764705882355,,,
2004Sep,89,1.5,,,,20,40,30,10,,,3.3333333333333335,,,
2004Sep,90,1.5,0,0,5,50,40,5,0,0,0,2.4096385542168677,,,
2004Sep,91,1.9,0,0,1.2012012,14.61461461,44.04404404,33.43343343,6.40640641,.3003003,0,3.017652342016694,,,
2004Sep,92,1.6,3.77218861,5.34935747,12.71444572,19.37286864,21.85039252,18.24171209,11.27296365,5.1559578,2.27011351,6.45649926329851,,,
2004Sep,93,1.9,,,,,60,40,,,,1.9230769230769231,,,
2004Sep,94,2,,,,10,25,30,25,10,,4.25531914893617,,,
2004Sep,95,1.6,1,4,13,26,29,19,7,1,0,4.7303689687795645,,,
2004Sep,96,2,,,5,10,35,35,10,5,,3.7037037037037037,,,
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,,
2004Dec,1,1.5,,,10,20,25,20,15,10,,5.405405405405405,,,
2004Dec,2,1.6,0,1,7,27,30,25,8,2,0,4.2158516020236085,,,
2004Dec,4,1.8,,,,20,60,20,,,,2.272727272727273,,,
2004Dec,7,1.6,,,,,,,,,,1,,,
2004Dec,9,1.8,,,,10,60,30,,,,2.1739130434782608,,,
2004Dec,11,1.5,,,,50,50,,,,,2.0,,,
2004Dec,14,1.5,,,,50,50,,,,,2.0,,,
2004Dec,15,1.5,,,,30,45,20,5,,,2.985074626865672,,,
2004Dec,16,1.9,0,2,10,19,24,22,15,5,3,5.605381165919282,,,
2004Dec,17,1,5,15,20,35,20,5,,,,4.3478260869565215,,,
2004Dec,18,2,2,2,10,15,50,15,3,2,1,3.2552083333333335,,,
2004Dec,20,1.6,,,,10,80,10,,,,1.5151515151515151,,,
2004Dec,22,1.7,0,0,5,20,50,25,0,0,0,2.816901408450704,,,
2004Dec,23,1.8,,,5,15,40,30,10,,,3.508771929824561,,,
2004Dec,24,1.7,,,5,25,45,20,5,,,3.225806451612903,,,
2004Dec,26,1.5,,,10,25,30,25,10,,,4.25531914893617,,,
2004Dec,28,1.7,,,,15,35,35,10,5,,3.5714285714285716,,,
2004Dec,29,1.3,,,,20,70,10,,,,1.8518518518518519,,,
2004Dec,30,1.8,,,,,80,20,,,,1.4705882352941178,,,
2004Dec,31,1.6,,,,30,55,15,,,,2.4096385542168677,,,
2004Dec,32,1.8,,,5,15,35,30,10,5,,4.0,,,
2004Dec,35,2,,,,,30,70,,,,1.7241379310344827,,,
2004Dec,38,1.5,,,,,60,40,,,,1.9230769230769231,,,
2004Dec,39,1.9,,,5,15,30,30,15,5,,4.3478260869565215,,,
2004Dec,41,1.8,,,,,,,,,,1,,,
2004Dec,42,1.8,,,,5,60,35,,,,2.0618556701030926,,,
2004Dec,47,1.9,,,,,80,20,,,,1.4705882352941178,,,
2004Dec,49,1.7,,,10,20,40,30,,,,3.3333333333333335,,,
2004Dec,50,1.8,,,,,75,25,,,,1.6,,,
2004Dec,53,1.8,,,,,70,30,,,,1.7241379310344827,,,
2004Dec,54,1.6,,,,20,40,30,10,,,3.3333333333333335,,,
2004Dec,56,1.7,,,,10,45,35,10,,,2.898550724637681,,,
2004Dec,59,1.3,,,,55,35,10,,,,2.2988505747126435,,,
2004Dec,60,1.4,,5,15,35,30,15,0,,,3.8461538461538463,,,
2004Dec,61,2,,,,10,40,40,10,,,2.9411764705882355,,,
2004Dec,63,1.5,,,,,,,,,,1,,,
2004Dec,67,2,,,,,,,,,,1,,,
2004Dec,70,1.6,,,,20,70,10,,,,1.8518518518518519,,,
2004Dec,71,1.8,3,5,8,22,25,22,8,5,2,5.605381165919282,,,
2004Dec,73,1.8,,,,,,,,,,1,,,
2004Dec,76,1.1,,5,20,40,25,10,,,,3.6363636363636362,,,
2004Dec,80,1.7,,,,,,,,,,1,,,
2004Dec,82,1.3,,,,,,,,,,1,,,
2004Dec,84,1.7,0,1,5,30,40,23,1,0,0,3.2722513089005236,,,
2004Dec,85,1.8,,,5,25,60,10,,,,2.2988505747126435,,,
2004Dec,88,1.7,,5,15,20,30,15,10,5,,5.2631578947368425,,,
2004Dec,89,1.7,,,,20,40,30,10,,,3.3333333333333335,,,
2004Dec,90,2,0,0,5,20,60,12,3,0,0,2.3934897079942554,,,
2004Dec,91,2,0,0,.6012024,9.91983968,39.47895792,39.47895792,9.91983968,.6012024,0,3.016859207132721,,,
2004Dec,92,1.5,1.60622002,4.19792004,13.76406014,24.75170025,27.29480027,18.45820018,7.65210008,1.94290002,.332099,5.074984021269389,,,
2004Dec,93,1.9,,,,,60,40,,,,1.9230769230769231,,,
2004Dec,94,2.1,,,,10,25,30,25,10,,4.25531914893617,,,
2004Dec,95,1.6,0,0,4,34,40,19,3,0,0,3.182686187141948,,,
2004Dec,96,1.8,,,,10,51,32,7,,,2.649708532061473,,,
2004Dec,97,1.8,,5,5,10,65,10,5,,,2.2222222222222223,,,
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,,
2005Mar,1,1.8,,,10,15,25,25,15,10,,5.2631578947368425,,,
2005Mar,2,2,0,3,7,12,28,28,18,4,0,4.739336492890995,,,
2005Mar,3,2,0,0,10,20,20,20,20,10,0,5.555555555555555,,,
2005Mar,4,1.8,,,,,60,40,,,,1.9230769230769231,,,
2005Mar,7,1.5,,,,,,,,,,1,,,
2005Mar,9,1.8,,,,10,60,30,,,,2.1739130434782608,,,
2005Mar,10,1.68009252,1.25414167,3.13890945,10.52108072,20.52630245,26.09147648,21.61222518,11.66415871,4.09991244,1.0917929,5.419011019036241,,,
2005Mar,11,1.7,,,,20,70,10,,,,1.8518518518518519,,,
2005Mar,14,1.4,,,10,50,30,10,,,,2.7777777777777777,,,
2005Mar,15,1.7,,,,10,60,20,10,,,2.380952380952381,,,
2005Mar,16,1.8,0,2,10,19,24,22,15,5,3,5.605381165919282,,,
2005Mar,17,1.4,,5,15,30,30,15,5,,,4.3478260869565215,,,
2005Mar,20,1.9,,,,10,70,20,,,,1.8518518518518519,,,
2005Mar,22,1.7,0,0,5,20,50,25,0,0,0,2.816901408450704,,,
2005Mar,23,1.8,,,,20,50,30,,,,2.6315789473684212,,,
2005Mar,24,1.5,,,10,35,40,15,,,,3.1746031746031744,,,
2005Mar,26,1.6,,,5,30,35,25,5,,,3.5714285714285716,,,
2005Mar,28,1.9,,,5,15,35,25,15,5,,4.25531914893617,,,
2005Mar,29,1.5,,,,15,75,10,,,,1.680672268907563,,,
2005Mar,31,1.4,,,,40,35,25,,,,2.898550724637681,,,
2005Mar,32,1.8,,,5,15,35,30,10,5,,4.0,,,
2005Mar,33,1.9,,,,,60,40,,,,1.9230769230769231,,,
2005Mar,35,1.9,,,,,50,50,,,,2.0,,,
2005Mar,36,1.9,,,,,35,35,30,,,2.985074626865672,,,
2005Mar,37,1.5,,,,10,80,10,,,,1.5151515151515151,,,
2005Mar,38,1.7,,,,,50,50,,,,2.0,,,
2005Mar,39,1.8,,,10,15,35,30,10,,,3.9215686274509802,,,
2005Mar,40,1.7,,,,,100,,,,,1.0,,,
2005Mar,41,2,,,,,,,,,,1,,,
2005Mar,42,1.7,,,,15,65,20,,,,2.0618556701030926,,,
2005Mar,47,1.6,,,,15,80,5,,,,1.5037593984962405,,,
2005Mar,48,1.7,,,,10,80,10,,,,1.5151515151515151,,,
2005Mar,50,1.5,,,,50,50,,,,,2.0,,,
2005Mar,52,1.3,,,15,50,35,,,,,2.5316455696202533,,,
2005Mar,54,1.9,,,10,20,40,20,10,,,3.8461538461538463,,,
2005Mar,56,1.5,,,,35,50,15,,,,2.5316455696202533,,,
2005Mar,57,1.8,,,,,,,,,,1,,,
2005Mar,59,1.4,,,,40,40,20,,,,2.7777777777777777,,,
2005Mar,60,1.5,,5,15,30,25,15,10,,,4.761904761904762,,,
2005Mar,61,2,,,,10,40,40,10,,,2.9411764705882355,,,
2005Mar,63,1.7,,,,30,60,10,,,,2.1739130434782608,,,
2005Mar,67,2,,,,,,,,,,1,,,
2005Mar,70,1.6,,,,10,75,15,,,,1.680672268907563,,,
2005Mar,71,1.8,3,5,8,22,25,22,8,5,2,5.605381165919282,,,
2005Mar,73,1.7,,,,,,,,,,1,,,
2005Mar,76,1.3,,5,20,40,25,7.5,2.5,,,3.686635944700461,,,
2005Mar,80,1.8,,,,,,,,,,1,,,
2005Mar,82,1.3,,8,15,55,15,7,,,,2.7870680044593086,,,
2005Mar,85,1.8,,,,5,45,35,10,5,,2.9411764705882355,,,
2005Mar,88,1.8,,,10,20,40,25,5,,,3.6363636363636362,,,
2005Mar,89,1.6,,,,20,40,30,10,,,3.3333333333333335,,,
2005Mar,90,1.7,0,0,5,20,60,12,3,0,0,2.3934897079942554,,,
2005Mar,91,2,,0,.6012024,9.91983968,39.47895792,39.47895792,9.91983968,.6012024,0,3.016859207132721,,,
2005Mar,92,1.9,.32,1.27,6.05,16.1,26.25,26.25,16.1,6.05,1.61,5.065708828932736,,,
2005Mar,93,1.7,,,,15,70,15,,,,1.8691588785046729,,,
2005Mar,94,1.8,,,10,25,30,25,10,,,4.25531914893617,,,
2005Mar,95,1.7,0,0,6,25,42,21,6,0,0,3.445899379738112,,,
2005Mar,96,2,,,,5,35,48,10,2,,2.733734281027884,,,
2005Mar,97,1.4,,,15,45,35,5,,,,2.857142857142857,,,
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,,
2005Jun,4,2.1,,,,,20,60,20,,,2.272727272727273,,,
2005Jun,7,1.3,,,,,,,,,,1,,,
2005Jun,9,1.9,,,,5,45,45,5,,,2.4390243902439024,,,
2005Jun,11,1.4,,,,60,40,,,,,1.9230769230769231,,,
2005Jun,14,1.6,,,,30,60,10,,,,2.1739130434782608,,,
2005Jun,15,1.8,,,,10,50,25,15,,,2.898550724637681,,,
2005Jun,16,1.6,0,0,10,22,23,22,15,5,3,5.387931034482759,,,
2005Jun,17,2,,,5,15,30,30,15,5,,4.3478260869565215,,,
2005Jun,19,1.7,,,,,100,,,,,1.0,,,
2005Jun,20,2,,,,10,40,35,15,,,3.1746031746031744,,,
2005Jun,22,1.9,0,0,5,20,40,30,5,0,0,3.389830508474576,,,
2005Jun,23,1.7,,5,10,20,30,20,10,5,,5.128205128205129,,,
2005Jun,24,1.8,,,5,20,40,30,5,,,3.389830508474576,,,
2005Jun,26,1.6,,,5,30,35,25,5,,,3.5714285714285716,,,
2005Jun,28,1.8,,,5,15,35,30,10,5,,4.0,,,
2005Jun,29,1.3,,,15,60,25,,,,,2.247191011235955,,,
2005Jun,31,1.7,,,,15,55,30,,,,2.4096385542168677,,,
2005Jun,32,1.9,,,5,15,35,30,10,5,,4.0,,,
2005Jun,33,2.2,,,,,10,70,20,,,1.8518518518518519,,,
2005Jun,35,1.9,,,,,60,40,,,,1.9230769230769231,,,
2005Jun,36,2,,,,10,35,45,10,,,2.898550724637681,,,
2005Jun,37,1.7,,,,10,70,20,,,,1.8518518518518519,,,
2005Jun,38,1.8,,,,,50,50,,,,2.0,,,
2005Jun,39,1.9,,,,15,40,30,15,,,3.389830508474576,,,
2005Jun,41,2,,,,,,,,,,1,,,
2005Jun,42,1.9,,,,5,60,35,,,,2.0618556701030926,,,
2005Jun,47,2.1,,,,,,,,,,1,,,
2005Jun,48,1.7,,,,25,50,25,,,,2.6666666666666665,,,
2005Jun,49,1.8,,,,5,40,40,10,5,,2.985074626865672,,,
2005Jun,54,1.9,,,,20,40,30,10,,,3.3333333333333335,,,
2005Jun,56,1.5,1,2,3,10,55,22,4,2,1,2.7442371020856204,,,
2005Jun,60,1.7,,,10,20,40,20,10,,,3.8461538461538463,,,
2005Jun,65,1.7,,,10,20,40,20,10,,,3.8461538461538463,,,
2005Jun,66,2.4,,,,,,,,,,1,,,
2005Jun,70,2,,,,,40,60,,,,1.9230769230769231,,,
2005Jun,71,1.7,0,5,12,23,25,17,11,6,1,5.649717514124293,,,
2005Jun,72,2,,,,,75,25,,,,1.6,,,
2005Jun,76,1.4,,2,20,40,25,10,3,,,3.652300949598247,,,
2005Jun,80,1.6,,,,,,,,,,1,,,
2005Jun,82,1.6,,,,,,,,,,1,,,
2005Jun,84,1.6,0,0,5,20,45,25,5,0,0,3.225806451612903,,,
2005Jun,85,1.8,,,,5,50,40,5,,,2.4096385542168677,,,
2005Jun,88,1.5,,5,10,30,35,15,5,,,4.0,,,
2005Jun,89,1.9,,,,10,30,40,20,,,3.3333333333333335,,,
2005Jun,90,1.6,0,0,0,15,50,30,5,0,0,2.73972602739726,,,
2005Jun,91,1.8,,,,,50,50,,,,2.0,,,
2005Jun,92,1.9,1.73776507,3.04025155,8.54518551,15.59632477,21.06997531,21.06997531,15.59632477,8.54520551,4.79899221,6.427923196388195,,,
2005Jun,93,1.8,,,,10,60,30,,,,2.1739130434782608,,,
2005Jun,94,1.7,,,10,25,30,25,10,,,4.25531914893617,,,
2005Jun,95,1.8,0,0,6,25,42,21,6,0,0,3.445899379738112,,,
2005Jun,96,2.2,,,,5,35,47,10,3,,2.8026905829596407,,,
2005Jun,97,1.4,,,,45,35,20,,,,2.73972602739726,,,
2005Jun,98,1.7,,,5,10,45,35,5,,,2.9411764705882355,,,
2005Jun,99,1.8,,,,10,55,25,10,,,2.5974025974025974,,,
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility,,,
2005Sep,1,1.8,,,5,20,30,23,15,7,,4.699248120300752,,,
2005Sep,2,1.8,,,2,8,40,40,8,2,,2.997601918465228,,,
2005Sep,4,2.2,,,,,20,60,20,,,2.272727272727273,,,
2005Sep,5,1.8,,,,20,60,20,,,,2.272727272727273,,,
2005Sep,7,1.7,,,,,,,,,,1,,,
2005Sep,9,2.2,,,,,30,70,,,,1.7241379310344827,,,
2005Sep,10,2.03550593,.332378,1.12799155,5.04082449,13.33904804,22.99090947,25.82020966,18.89610966,9.009445,3.44308413,5.405183392069227,,,
2005Sep,14,1.8,,,,,,,,,,1,,,
2005Sep,15,1.8,,,,10,50,25,15,,,2.898550724637681,,,
2005Sep,16,1.6,0,0,10,22,23,22,15,5,3,5.387931034482759,,,
2005Sep,17,1.8,,5,15,20,30,25,5,,,4.545454545454546,,,
2005Sep,18,1.5,0,10,20,20,25,15,5,2.5,2.5,5.594405594405594,,,
2005Sep,19,1.8,,,,,90,10,,,,1.2195121951219512,,,
2005Sep,20,1.9,,,,20,50,30,,,,2.6315789473684212,,,
2005Sep,22,2.1,0,0,0,20,25,45,10,0,0,3.1746031746031744,,,
2005Sep,23,2.1,,2,5,15,30,30,15,3,,4.370629370629371,,,
2005Sep,24,1.9,,,,10,45,35,10,,,2.898550724637681,,,
2005Sep,26,1.8,,,,20,35,30,15,,,3.6363636363636362,,,
2005Sep,28,1.8,,,5,15,35,30,10,5,,4.0,,,
2005Sep,29,1.7,,,,,95,5,,,,1.1049723756906078,,,
2005Sep,31,1.9,,,,,55,45,,,,1.9801980198019802,,,
2005Sep,32,1.9,,,5,15,35,30,10,5,,4.0,,,
2005Sep,33,1.9,,,,,50,50,,,,2.0,,,
2005Sep,35,1.9,,,,,80,20,,,,1.4705882352941178,,,
2005Sep,37,1.8,,,,,75,25,,,,1.6,,,
2005Sep,38,2,,,,,5,90,5,,,1.2269938650306749,,,
2005Sep,39,2.1,,,5,10,25,35,20,5,,4.166666666666667,,,
2005Sep,41,2.3,,,,,,,,,,1,,,
2005Sep,42,1.9,,,,5,60,35,,,,2.0618556701030926,,,
2005Sep,47,2.3,,,,,10,70,20,,,1.8518518518518519,,,
2005Sep,50,1.7,,,,,80,20,,,,1.4705882352941178,,,
2005Sep,52,1.6,,,,15,70,15,,,,1.8691588785046729,,,
2005Sep,54,1.8,,,,20,60,20,,,,2.272727272727273,,,
2005Sep,56,2,,,,5,40,50,5,,,2.4096385542168677,,,
2005Sep,59,1.5,,,,25,60,15,,,,2.247191011235955,,,
2005Sep,60,1.6,,,5,25,45,20,5,,,3.225806451612903,,,
2005Sep,61,2,,,,,40,40,20,,,2.7777777777777777,,,
2005Sep,63,1.6,,,,,,,,,,1,,,
2005Sep,76,1.4,,1,4,40,35,15,4,1,,3.242542153047989,,,
2005Sep,80,2.2,,,,,,,,,,1,,,
2005Sep,82,1.4,,,,,,,,,,1,,,
2005Sep,84,1.7,0,0,5,20,45,25,5,0,0,3.225806451612903,,,
2005Sep,85,1.9,,,,5,50,40,5,,,2.4096385542168677,,,
