TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2000Mar,38,2,0,0,0,0,40,60,0,0,0,1.9230769230769231
2000Mar,39,1.7,0,0,0,20,60,20,0,0,0,2.272727272727273
2000Mar,40,1.3,0,0,10,45,35,10,0,0,0,2.898550724637681
2000Mar,41,1.7,0,0,0,10,90,0,0,0,0,1.2195121951219512
2000Mar,42,1.6,0,0,0,15,50,20,15,0,0,2.985074626865672
2000Mar,43,1.3,0,0,31,38,31,0,0,0,0,2.9708853238265007
2000Mar,46,.78,0,15,65,20,0,0,0,0,0,2.0618556701030926
2000Mar,47,1.3,0,0,20,60,20,0,0,0,0,2.272727272727273
2000Mar,48,1.2,0,0,10,70,20,0,0,0,0,1.8518518518518519
2000Mar,50,1,0,0,75,25,0,0,0,0,0,1.6
2000Mar,53,1.7,0,0,0,10,80,10,0,0,0,1.5151515151515151
2000Mar,54,1.5,0,5,10,45,30,10,0,0,0,3.1746031746031744
2000Mar,55,1.8,.2,1.8,8.1,18.5,27.1,23.8,13.5,5.3,1.7,5.194211570625694
2000Mar,56,1.4,0,0,0,75,25,0,0,0,0,1.6
2000Mar,57,1.3,0,0,0,70,30,0,0,0,0,1.7241379310344827
2000Mar,59,1.7,0,0,0,15,80,5,0,0,0,1.5037593984962405
2000Mar,60,1.5,0,0,0,50,50,0,0,0,0,2.0
2000Mar,61,1.6,0,0,0,30,50,20,0,0,0,2.6315789473684212
2000Mar,64,1.2,4,4,18,35,21,10,5,2,1,4.646840148698885
2000Mar,65,1.4,0,0,0,70,30,0,0,0,0,1.7241379310344827
2000Mar,67,1.4,0,0,0,40,40,20,0,0,0,2.7777777777777777
2000Mar,70,1.6,0,0,0,50,40,10,0,0,0,2.380952380952381
2000Mar,71,1.4,0,10,20,30,25,10,5,0,0,4.651162790697675
2000Mar,72,1.3,5,10,15,30,20,15,5,0,0,5.2631578947368425
2000Mar,85,1,0,5,35,45,15,0,0,0,0,2.857142857142857
2000Mar,87,1.5,0,0,15,35,40,10,0,0,0,3.1746031746031744
2000Mar,88,1.5,0,0,10,30,40,15,5,0,0,3.508771929824561
2000Mar,89,1.5,0,0,0,50,50,0,0,0,0,2.0
2000Mar,90,1.2,0,0,5,95,0,0,0,0,0,1.1049723756906078
2000Mar,92,1.69,0,2.5177664975,9.8375634518,21.2994923858,28.2842639594,23.0355329949,11.5025380711,3.5228426396,0,4.920922378833421
2000Mar,94,1.5,0,0,0,60,40,0,0,0,0,1.9230769230769231
2000Mar,95,1,6,12,31,27,18,6,0,0,0,4.4843049327354265
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2000Jun,1,1.5,,,15,70,15,,,,,1.8691588785046729
2000Jun,3,1.2,,,30,40,30,,,,,2.9411764705882355
2000Jun,5,1.4,,,30,40,30,,,,,2.9411764705882355
2000Jun,7,1.3,,,,,,,,,,1
2000Jun,9,1.3,,,20,80,,,,,,1.4705882352941178
2000Jun,10,1.5,,,,35,65,,,,,1.834862385321101
2000Jun,11,1.2,,,5,75,15,5,,,,1.694915254237288
2000Jun,14,1.3,,,10,60,30,,,,,2.1739130434782608
2000Jun,16,1.5,,,5,30,40,20,5,,,3.389830508474576
2000Jun,19,1.3,,,25,75,,,,,,1.6
2000Jun,20,1.6,,,,50,50,,,,,2.0
2000Jun,23,1.9,,,,20,50,30,,,,2.6315789473684212
2000Jun,26,1.7,,,,10,60,30,,,,2.1739130434782608
2000Jun,28,1.2,,,5,70,15,10,,,,1.9047619047619047
2000Jun,29,1.3,,,,85,14,1,,,,1.3473457289140394
2000Jun,31,1.5,,,,,,,,,,1
2000Jun,32,1.5,,,15,35,40,10,,,,3.1746031746031744
2000Jun,33,1.5,,,5,40,40,15,,,,2.898550724637681
2000Jun,34,1.6,,,,40,50,10,,,,2.380952380952381
2000Jun,35,2,,,,,,,,,,1
2000Jun,36,1.4,,,20,40,40,,,,,2.7777777777777777
2000Jun,37,1.9,,,,,60,40,,,,1.9230769230769231
2000Jun,38,1.8,,,,,90,10,,,,1.2195121951219512
2000Jun,39,1.6,,,,35,45,20,,,,2.73972602739726
2000Jun,41,1.7,,,,10,90,,,,,1.2195121951219512
2000Jun,42,1.8,,,,15,60,25,,,,2.247191011235955
2000Jun,46,.67,4.2,28.6,47.1,18.4,1.7,,,,,2.9451090573883953
2000Jun,47,1.2,,,45,40,15,,,,,2.5974025974025974
2000Jun,48,1.3,,,10,60,30,,,,,2.1739130434782608
2000Jun,52,1.7,,,10,10,50,30,,,,2.7777777777777777
2000Jun,53,1.8,,,,20,40,40,,,,2.7777777777777777
2000Jun,54,1.6,,,20,25,40,15,,,,3.508771929824561
2000Jun,55,1.7,.2997002997,2.1978021978,6.3936063936,23.1768231768,26.8731268731,22.1778221778,12.2877122877,4.8951048951,1.6983016983,5.063756778210728
2000Jun,56,1.7,,,,10,90,,,,,1.2195121951219512
2000Jun,59,1.4,,,,40,60,,,,,1.9230769230769231
2000Jun,64,1.5,1,1,10,29,30,17,8,2,2,4.537205081669692
2000Jun,65,1.8,,,,20,60,20,,,,2.272727272727273
2000Jun,67,1.4,,,,10,60,30,,,,2.1739130434782608
2000Jun,70,1.7,,,,25,60,15,,,,2.247191011235955
2000Jun,72,1.6,2,8,15,20,30,15,8,2,,5.302226935312832
2000Jun,73,1.5,,,25,50,25,,,,,2.6666666666666665
2000Jun,76,1.3,,5,20,30,20,10,10,5,,5.128205128205129
2000Jun,85,1,,2,14,65,10,8,1,,,2.178649237472767
2000Jun,87,1.5,,,5,25,60,10,,,,2.2988505747126435
2000Jun,88,1.7,,,10,20,50,15,5,,,3.076923076923077
2000Jun,90,1.4,,,,90,10,,,,,1.2195121951219512
2000Jun,91,1.2,,,15.8,77.5,6.7,,,,,1.587105088576335
2000Jun,94,1.9,,,10,30,50,10,,,,2.7777777777777777
2000Jun,95,1.1,5,9,29,28,21,8,,,,4.472271914132379
""
TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2000Sep,1,1.8,,,,20,60,20,,,,2.272727272727273
2000Sep,2,1.6,,5,10,35,30,15,5,,,4.0
2000Sep,3,1.3,,,20,50,30,,,,,2.6315789473684212
2000Sep,4,1.7,,,,20,60,20,,,,2.272727272727273
2000Sep,5,1.5,,,5,30,60,5,,,,2.197802197802198
2000Sep,7,1.4,,,,,,,,,,1
2000Sep,9,1.3,,,10,80,10,,,,,1.5151515151515151
