"","x"
"1",0
"2",-0.100000000000001
"3",0
"4",-0.2
"5",0.100000000000001
"6",0
"7",0.3
"8",-0.0999999999999996
"9",0.0999999999999996
"10",-0.0999999999999996
"11",0.0999999999999996
"12",0.3
"13",0
"14",0
"15",0.600000000000001
"16",0.6
"17",0.0999999999999996
"18",0.2
"19",-0.0999999999999996
"20",-0.2
"21",0
"22",0
"23",-0.3
"24",0.3
"25",-0.0999999999999996
"26",0
"27",-0.2
"28",0.3
"29",0
"30",-0.3
"31",0.2
"32",0.199999999999999
"33",0.300000000000001
"34",0.4
"35",0.199999999999999
"36",0.0999999999999996
"37",0.300000000000001
"38",0.0999999999999996
"39",0.300000000000001
"40",0.0999999999999996
"41",0.199999999999999
"42",0.200000000000001
"43",0
"44",0.299999999999999
"45",0.300000000000001
"46",0.4
"47",0
"48",-0.4
"49",0
"50",-0.0999999999999996
"51",-0.100000000000001
"52",-0.0999999999999996
"53",0
"54",-0.699999999999999
"55",0.0999999999999996
"56",-0.300000000000001
"57",-0.399999999999999
"58",-0.300000000000001
"59",-0.199999999999999
"60",-0.300000000000001
"61",-0.2
"62",0
"63",-0.0999999999999996
"64",-0.3
"65",-0.2
"66",0.3
"67",0
"68",-0.2
"69",0.100000000000001
"70",-0.2
"71",0.0999999999999996
"72",0
"73",-0.0999999999999996
"74",0
"75",0.0999999999999996
"76",-0.0999999999999996
"77",0.2
"78",0
"79",-0.300000000000001
"80",0
"81",0
"82",-0.0999999999999996
"83",0
"84",-0.3
"85",0.5
"86",0
"87",-0.100000000000001
"88",0.100000000000001
"89",0
"90",-0.2
"91",-0.0999999999999996
"92",0.0999999999999996
"93",0
"94",-0.0999999999999996
"95",-0.300000000000001
"96",0
"97",0
"98",0
"99",-0.3
"100",0
"101",-0.0999999999999996
"102",-0.100000000000001
"103",-0.0999999999999996
"104",-0.0999999999999996
"105",0.0999999999999996
"106",-0.2
"107",-0.0999999999999996
"108",0
"109",0
"110",0
"111",-0.3
"112",0.199999999999999
"113",-0.199999999999999
"114",0
"115",0.199999999999999
"116",-0.199999999999999
"117",0
"118",-0.100000000000001
"119",0
"120",0.100000000000001
"121",-0.2
"122",-0.2
"123",0.2
"124",0
"125",0.0999999999999996
"126",-0.0999999999999996
"127",0
"128",0.0999999999999996
"129",0
"130",0.100000000000001
"131",0
"132",0
"133",-0.100000000000001
"134",-0.0999999999999996
"135",0.2
"136",0
"137",-0.2
"138",0.3
"139",0.2
"140",0.2
"141",0
"142",0.3
"143",0.0999999999999996
"144",0.100000000000001
"145",0.199999999999999
"146",0.2
"147",-0.0999999999999996
"148",0.2
"149",0
"150",-0.100000000000001
"151",0.100000000000001
"152",0
"153",0.0999999999999996
"154",0
"155",0.3
"156",0
"157",0.100000000000001
"158",0
"159",0
"160",0.199999999999999
"161",0.2
"162",-0.0999999999999996
"163",-0.100000000000001
"164",0
"165",-0.3
"166",0.100000000000001
"167",0
"168",-0.100000000000001
"169",-0.2
"170",-0.0999999999999996
"171",0.0999999999999996
"172",0
"173",-0.0999999999999996
