"","1","2","4","5","6","7","10","14","15","16","20","22","23","24","26","29","30","31","32","33","36","37","38","39","41","42","47","48","49","52","54","56","59","61","63","68","82","85","88","89","90","91","92","93","94","95","96","97","98","99","101","102","103","107","108","110","112"
"1",0.022,0.023,0.025,0.02,0.024,0.016,0.016,0.023,0.020585,0.02,0.019,0.01937,0.019,0.021,0.02,0.02,0.02187,0.022,0.022,0.02,0.018,0.025,0.02,0.024,0.02077,0.01943,0.02,0.02059,0.02106,0.025,0.02141,0.019,0.022,0.02,0.022,0.02,0.01775,0.021,0.02,0.021,0.02,0.025,0.025,0.020680762917,0.018,0.019,0.02023,0.0209,0.01957,0.02102,0.01886,0.015071649071,0.01869,0.020971398503,0.0216182945426,0.0165992939062,0.02535
"2",0.023,0.025,0.031,0.02,0.02481,0.019,0.0239389206492,0.025,0.021565,0.027,0.018,0.02012,0.024,0.026,0.024,0.025,0.023274,0.022,0.024,0.017,0.019,0.025,0.018,0.024,0.023,0.02,0.02,0.025,0.02403,0.02167,0.025,0.022,0.023,0.024,0.02042,0.020612,0.01903,0.019,0.024,0.019,0.02,0.02244,0.0196,0.021040762917,0.024,0.021,0.02046,0.022,0.02081,0.023508,0.01983,0.014875649071,0.01897,0.0209895205526,0.0258888517636,0.016125,0.02578
"3",0.023,0.02547,0.02742,0.033,0.02544,0.023,0.025,0.027,0.0236,0.027,0.022,0.0209,0.025,0.0239483343546,0.021,0.023,0.025472,0.026,0.024,0.023,0.022,0.022,0.022,0.027,0.026,0.024,0.02152,0.026,0.02544,0.025,0.03,0.023,0.023,0.02401,0.02207,0.0236438,0.02261,0.023,0.024,0.0236817458676,0.025,0.026,0.025756,0.023,0.024,0.024,0.02062,0.02294,0.0212,0.026402,0.02137,0.0145001192568,0.01973,0.022152582226,0.0290102311377,0.014149,0.02938
"4",0.028,0.028,0.032,0.028,0.0306,0.03,0.0294505503936,0.028,0.0267,0.034,0.02775,0.02386,0.031,0.033,0.032,0.02851,0.031,0.029,0.027,0.027,0.024,0.028,0.024,0.029,0.029,0.032,0.029,0.02804,0.028,0.029,0.027,0.03007,0.028,0.028,0.02434,0.0278736,0.02549,0.025,0.028,0.025,0.026,0.026,0.0273,0.02666,0.029,0.028,0.02574,0.0251,0.02749,0.031264,0.02687,0.0156127086994,0.02014,0.0267896846699,0.0454038974659,0.0133932050056,0.0367
"5",0.03,0.03,0.034,0.029,0.03277,0.031,0.0323086744823,0.03,0.028,0.029,0.03187,0.02745,0.032,0.034,0.031,0.031,0.031,0.02883,0.028,0.027,0.029,0.032,0.03,0.031,0.03,0.03,0.03,0.037,0.031,0.02847,0.035,0.03087,0.0303,0.03,0.0257,0.0322242,0.027,0.022,0.0311261613043,0.029,0.03,0.031,0.0282,0.02977,0.031,0.033,0.0296,0.02494,0.02895,0.03557,0.02586,0.0152027086994,0.02022,0.0279219555036,0.0525674815059,0.013552,0.04131
"6",0.032,0.032,0.035,0.025,0.03474,0.039,0.036,0.03,0.028,0.03,0.033,0.037,0.032,0.036,0.037,0.03595,0.037352,0.03,0.031,0.03,0.029,0.031,0.032,0.036,0.032,0.033,0.03193,0.036,0.036607,0.02869,0.03363,0.029,0.032,0.03,0.02946,0.0399132,0.02853,0.036,0.0357861613043,0.028,0.033,0.03285,0.0318,0.033,0.03,0.034,0.033,0.03004,0.0361,0.041417,0.03217,0.0179231788852,0.02014,0.0346743579766,0.0581751011859,0.013117,0.04611
"7",0.037,0.03383,0.039,0.031,0.03768,0.035,0.035,0.033,0.03,0.0313899999999999,0.036,0.033,0.036,0.0413299580458,0.037,0.03,0.0399560000000001,0.034,0.03,0.03,0.028,0.034,0.037085686919,0.034,0.033,0.03044,0.0334,0.035,0.044085,0.02856,0.038,0.034,0.033,0.03132,0.03256,0.045156,0.03009,0.03,0.03904,0.037,0.035,0.03586,0.030083,0.035,0.034,0.033,0.031,0.03235,0.03685,0.046611,0.03613,0.0215231788852,0.02014,0.0398999972632,0.0581751011859,0.013087,0.05015
"8",0.03,0.03,0.035,0.027,0.033,0.032,0.032,0.027,0.03,0.029,0.031,0.029,0.03,0.036,0.033,0.029,0.035298,0.029,0.029,0.028,0.03,0.032,0.029,0.033,0.034,0.027,0.0304,0.029,0.034787,0.03,0.035,0.03,0.031,0.025,0.0288,0.037408,0.02801,0.025,0.0338923226086,0.032,0.035,0.028,0.0307,0.028,0.034,0.033,0.029,0.03012,0.03289,0.038318,0.03011,0.0175427086994,0.02014,0.0335350212513,0.0535673997859,0.0131032050056,0.04408
"9",0.026,0.025,0.027,0.027,0.02766,0.024,0.028,0.025,0.027,0.029,0.025,0.023,0.026,0.031,0.027,0.029,0.027998,0.028,0.025,0.026,0.029,0.031,0.027,0.026,0.03,0.025,0.02493,0.026,0.025,0.02604,0.027,0.028,0.024,0.025,0.02263,0.028,0.024,0.021,0.0260484839129,0.03,0.028,0.032,0.0268,0.028,0.026,0.027,0.023,0.02326,0.02249,0.028599,0.02315,0.014673649071,0.02018,0.0223445572885,0.0380012511459,0.013417,0.0319
