"","1","2","4","5","6","7","10","14","15","16","20","22","23","24","26","29","30","31","32","33","36","37","38","39","41","42","47","48","49","52","54","56","59","61","63","68","82","85","88","89","90","91","92","93","94","95","96","97","98","99","101","102","103","107","108","110","112"
"1",0.007,0.006,0.004,0.009,0.005,0.013,0.013,0.006,0.00841500000000003,0.009,0.01,0.00963000000000002,0.01,0.008,0.009,0.009,0.00713000000000003,0.007,0.007,0.009,0.011,0.004,0.009,0.005,0.00823000000000002,0.00957000000000002,0.009,0.00841000000000002,0.00794000000000002,0.004,0.00759000000000002,0.01,0.007,0.009,0.007,0.009,0.01125,0.008,0.009,0.008,0.009,0.004,0.004,0.00831923708300001,0.011,0.01,0.00877000000000001,0.00810000000000002,0.00943000000000004,0.00798000000000001,0.01014,0.013928350929,0.01031,0.00802860149699999,0.00738170545740002,0.0124007060938,0.00365000000000003
"2",0.017,0.015,0.009,0.02,0.01519,0.021,0.0160610793508,0.015,0.018435,0.013,0.022,0.01988,0.016,0.014,0.016,0.015,0.016726,0.018,0.016,0.023,0.021,0.015,0.022,0.016,0.017,0.02,0.02,0.015,0.01597,0.01833,0.015,0.018,0.017,0.016,0.01958,0.019388,0.02097,0.021,0.016,0.021,0.02,0.01756,0.0204,0.018959237083,0.016,0.019,0.01954,0.018,0.01919,0.016492,0.02017,0.025124350929,0.02103,0.0190104794474,0.0141111482364,0.023875,0.01422
"3",0.019,0.01653,0.01458,0.009,0.01656,0.019,0.017,0.015,0.0184,0.015,0.02,0.0211,0.017,0.0180516656454,0.021,0.019,0.016528,0.016,0.018,0.019,0.02,0.02,0.02,0.015,0.016,0.018,0.02048,0.016,0.01656,0.017,0.012,0.019,0.019,0.01799,0.01993,0.0183562,0.01939,0.019,0.018,0.0183182541324,0.017,0.016,0.016244,0.019,0.018,0.018,0.02138,0.01906,0.0208,0.015598,0.02063,0.0274998807432,0.02227,0.019847417774,0.0129897688623,0.027851,0.0126200000000001
"4",0.018,0.018,0.014,0.018,0.0154,0.016,0.0165494496064,0.018,0.0193,0.012,0.01825,0.02214,0.015,0.013,0.014,0.01749,0.015,0.017,0.019,0.019,0.022,0.018,0.022,0.017,0.017,0.014,0.017,0.01796,0.018,0.017,0.019,0.01593,0.018,0.018,0.02166,0.0181264,0.02051,0.021,0.018,0.021,0.02,0.02,0.0187,0.01934,0.017,0.018,0.02026,0.0209,0.01851,0.014736,0.01913,0.0303872913006,0.02586,0.0192103153301,0.000596102534100001,0.0326067949944,0.00930000000000002
"5",0.009,0.009,0.005,0.01,0.00623000000000001,0.008,0.00669132551769998,0.009,0.011,0.01,0.00713000000000002,0.01155,0.007,0.005,0.008,0.008,0.008,0.01017,0.011,0.012,0.01,0.007,0.009,0.008,0.009,0.009,0.009,0.00199999999999999,0.008,0.01053,0.004,0.00813000000000003,0.00869999999999998,0.009,0.0133,0.00677579999999998,0.012,0.017,0.00787383869570001,0.01,0.009,0.008,0.0108,0.00922999999999998,0.008,0.006,0.00940000000000002,0.01406,0.01005,0.00343,0.01314,0.0237972913006,0.01878,0.0110780444964,-0.0135674815059,0.025448,-0.00230999999999999
"6",0.002,0.002,-0.001,0.009,-0.000739999999999991,-0.005,-0.002,0.004,0.00600000000000001,0.004,0.001,-0.003,0.002,-0.002,-0.003,-0.00194999999999996,-0.00335200000000004,0.004,0.003,0.004,0.005,0.003,0.002,-0.002,0.002,0.001,0.00207000000000001,-0.002,-0.00260700000000002,0.00531000000000004,0.000370000000000009,0.005,0.002,0.004,0.00454,-0.00591320000000001,0.00547000000000003,-0.002,-0.00178616130429999,0.00600000000000001,0.001,0.00114999999999998,0.0022,0.00099999999999998,0.004,0,0.001,0.00395999999999999,-0.00210000000000003,-0.00741699999999997,0.00183000000000001,0.0160768211148,0.01386,-0.000674357976600003,-0.0241751011859,0.020883,-0.01211
"7",-0.005,-0.00182999999999998,-0.007,0.001,-0.00568,-0.003,-0.003,-0.001,0.002,0.000610000000000055,-0.004,-0.001,-0.00399999999999997,-0.00932995804579997,-0.005,0.002,-0.00795600000000005,-0.002,0.002,0.002,0.004,-0.002,-0.00508568691899999,-0.002,-0.001,0.00156000000000003,-0.00139999999999999,-0.003,-0.012085,0.00344000000000005,-0.006,-0.002,-0.001,0.000680000000000028,-0.000560000000000005,-0.013156,0.00191000000000003,0.002,-0.00703999999999998,-0.005,-0.003,-0.00386000000000003,0.001917,-0.003,-0.002,-0.001,0.001,-0.000350000000000017,-0.00485000000000003,-0.014611,-0.00412999999999998,0.0104768211148,0.01186,-0.00789999726320001,-0.0261751011859,0.018913,-0.01815
"8",-0.007,-0.007,-0.012,-0.004,-0.01,-0.009,-0.009,-0.004,-0.007,-0.006,-0.008,-0.006,-0.007,-0.013,-0.01,-0.006,-0.012298,-0.006,-0.006,-0.005,-0.007,-0.009,-0.006,-0.01,-0.011,-0.004,-0.00739999999999999,-0.006,-0.011787,-0.007,-0.012,-0.007,-0.008,-0.002,-0.0058,-0.014408,-0.00500999999999998,-0.002,-0.0108923226086,-0.009,-0.012,-0.005,-0.0077,-0.005,-0.011,-0.01,-0.006,-0.00712,-0.00989000000000002,-0.015318,-0.00710999999999998,0.00545729130060002,0.00286000000000004,-0.0105350212513,-0.0305673997859,0.00989679499440001,-0.02108
"9",-0.007,-0.006,-0.008,-0.008,-0.00865999999999999,-0.005,-0.009,-0.006,-0.008,-0.01,-0.006,-0.004,-0.007,-0.012,-0.008,-0.01,-0.00899800000000001,-0.009,-0.006,-0.007,-0.01,-0.012,-0.008,-0.007,-0.011,-0.006,-0.00592999999999999,-0.007,-0.006,-0.00703999999999997,-0.008,-0.009,-0.005,-0.006,-0.00362999999999997,-0.009,-0.005,-0.002,-0.00704848391289999,-0.011,-0.009,-0.013,-0.0078,-0.009,-0.007,-0.008,-0.004,-0.00425999999999998,-0.00348999999999999,-0.00959899999999999,-0.00414999999999999,0.00432635092900002,-0.00117999999999996,-0.00334455728850001,-0.0190012511459,0.00558300000000001,-0.0129
"10",-0.013,-0.012,-0.011,-0.009,-0.01291,-0.01,-0.015,-0.006,-0.013,-0.0118,-0.01114,-0.006,-0.013,-0.012,-0.012,-0.013,-0.012806,-0.01,-0.011,-0.014,-0.017,-0.016,-0.008,-0.011,-0.013,-0.013,-0.00849999999999999,-0.009,-0.009,-0.006,-0.015,-0.013,-0.009,-0.016,-0.00930999999999997,-0.0100468,-0.00898999999999999,-0.01,-0.0119168356516,-0.014,-0.016,-0.009,-0.0158,-0.01,0.000999999999999999,-0.0108532334274,-0.008,-0.01101,-0.00968999999999999,-0.015096,-0.00815,-0.00243564907099998,-0.00744999999999996,-0.00961246386600002,-0.0145621582754,-0.001429,-0.01609
"11",-0.008,-0.01911,-0.01753,-0.01,-0.01821,-0.011,-0.0169559556706,-0.006,-0.018,-0.01512,-0.01605,-0.008,-0.014,-0.011,-0.01,-0.021,-0.01844,-0.015,-0.016,-0.019,-0.019,-0.014,-0.0147338,-0.016,-0.02,-0.015,-0.014,-0.01548,-0.013,-0.01506,-0.019,-0.019,-0.016,-0.016,-0.01628,-0.016,-0.01384,-0.019,-0.0170163291301,-0.021,-0.018,-0.016,-0.025,-0.011,-0.016,-0.019,-0.013,-0.0167,-0.01664,-0.021163,-0.01451,-0.0110545894426,-0.01477,-0.0176904620923,-0.0188038633761,-0.01184,-0.02107
"12",-0.004,-0.007,-0.005,0,-0.00485,-0.0058573208832,-0.002,-0.00486,-0.0095,-0.00504,-0.00473,-0.001,-0.00142000000000001,0.004,-0.002,-0.005,-0.004936,-0.003,-0.01,-0.011,-0.012,-0.002,-0.00369,-0.001,-0.006,0.001,0.002,-0.007,-0.00312,-0.00420999999999999,-0.007,-0.00659166897299999,-0.00435,0,0,-0.004,-0.00211152217070001,-0.012,-0.00520804999999999,-0.006,-0.017,-0.012,-0.018,0.003,-0.002,-0.002,-0.004,-0.0048526056556,-0.00428,-0.00700899999999999,-0.004298611908,-0.00543270869939999,-0.005899884812,-0.004815308358,-0.00599133172040001,-0.0048931446202,-0.00696
"13",-0.001,-0.009,-0.003,-0.00769,-0.00538999999999999,-0.004,-0.0068998331955,-0.007,-0.01,-0.003,-0.011,0.005,-0.00515999999999999,-0.00351854770119999,0.002,-1.73472347597681e-18,-0.00617899999999999,-1.73472347597681e-18,-0.007,-0.011,-0.011,-0.002,-0.003198,-0.004,-0.003,-0.005,0.000999999999999999,-0.01,-0.00581999999999999,0.000999999999999999,-0.001,-0.008,-0.005,-0.002,-0.02,-0.00957479999999999,-0.00231999999999999,-0.005,-0.00646104999999999,-0.006,-0.003,-0.003,-0.021,-0.009,-0.013,-0.004,-0.002,-0.00663826882789998,-0.00458,-0.011653,-0.00794999999999999,-0.0031950596284,-0.00566999999999999,-0.0074603709745,-0.0084066265771,-0.0026646363572,-0.00840999999999999
"14",-0.012,-0.009,-0.014,-0.005,-0.01242,-0.019,-0.0128175415116,-0.017,-0.009,-0.01,-0.01057,-1.73472347597681e-18,-0.01184,-0.009,-0.017,-0.013,-0.01067,-0.01,-0.016,-0.01,-0.009,-0.007,-0.0083208144962,-0.017,-0.008,-0.013,-0.006,-0.007,-0.009,-0.009,-0.009,-0.013,-0.01118,-0.01051,-0.014,-0.011,-0.00752,-0.009,-0.0102771356516,-0.009,-0.012,-0.01036,-0.016,-0.012,-0.012,-0.006,-1.73472347597681e-18,-0.01026,-0.00926,-0.015163,-0.00749,-0.00133423851359998,-0.00673999999999997,-0.00966599822660001,-0.0154696710636,-0.00104120500559999,-0.0168
"15",-0.01612,-0.016,-0.023,-0.013,-0.01754,-0.0188035099191,-0.0198508827,-0.021,-0.016,-0.01768,-0.01547,-0.006,-0.01703,-0.014,-0.018,-0.018,-0.016,-0.018,-0.025,-0.002,-0.008,-0.019,-0.0135510144962,-0.017,-0.019,-0.017,-0.011,-0.015,-0.017997,-0.02,-0.013,-0.023,-0.023,-0.018,-0.01288,-0.0174606,-0.01292,-0.011,-0.0185193613043,-0.016,-0.015,-0.011,-0.012,-0.011,-0.02,-0.011,-0.01271,-0.01487,-0.01772,-0.018204,-0.01384,-0.00731176832779997,-0.01088,-0.0145816749286,-0.0239894369577,-0.00572441001119999,-0.02504
"16",-0.01,-0.008,-0.01,-0.02,-0.01257,-0.015,-0.013,-0.014,-0.016,-0.007,-0.014,-0.01,-0.01153,-0.011,0.0025,-0.009,-0.012952,-0.011,-0.015,-0.015,-0.011,-0.01,-0.0109518,-0.0121142787608,-0.013,-0.013,-0.009,-0.012,-0.013,-0.012,-0.003,-0.016,-0.011,-0.009,-0.01311,-0.021,-0.01003,-0.012,-0.0131359,-0.015,-0.016,-0.012,-0.02,-0.016,-0.016,-0.016,-0.011,-0.0115456002822,-0.01164,-0.01308,-0.01152,-0.010705649071,-0.012464980802,-0.0132947665269,-0.0111540455789,-0.0109598207806,-0.01378
