"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"14",9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725,9.196725
"15",9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352,9.192352
"16",9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592,9.236592
"17",9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611,9.405611
"18",9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697,9.396697
"19",9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603,9.38603
"20",9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562,9.406562
"21",9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961,9.289961
"22",9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363,9.328363
"23",9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183,9.197183
"24",9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843,9.10843
