"","x"
"1",0.00531371383729864
"2",0.00778581259920845
"3",0.0103749012728041
"4",0.0102971435971915
"5",0.00822483823846103
"6",0.00759141015468009
"7",0.00761854700760608
"8",0.00878769788096085
"9",0.00813091574219254
"10",0.00691319974262763
"11",0.00836390378416674
"12",0.0104247996072827
"13",0.0107703653320366
"14",0.0122099698666898
"15",0.00519877240847465
"16",0.00774783115847713
"17",0.00629478680410782
"18",0.00774270436987461
"19",0.00829329682831131
"20",0.00920756258397717
"21",0.00797516390339707
"22",0.00811030418302303
"23",0.00647075609226902
"24",0.00955514913940425
"25",0.0100683796301423
"26",0.00695207332070679
"27",0.00435344896537409
"28",0.00447715734412743
"29",0.00398397453600239
"30",0.00601693631090702
"31",0.00623814785309755
"32",0.00603682185755593
"33",0.00452117021981688
"34",0.00535254138736443
"35",0.00307855137803728
"36",0.00592360532297959
"37",0.00300553517533738
"38",0.00256576324583026
"39",0.00049876443483345
"40",0.00592078744848382
"41",0.00722900124076587
"42",0.00591038041389786
"43",0.00308625088159209
"44",0.00276729457876227
"45",0.0055996618982843
"46",0.00300732300715007
"47",0.00151121944723889
"48",0.00465071417629313
"49",0.00169768241884469
"50",0.00128223256399955
"51",0.00455058425905085
"52",0.00282824545963499
"53",0.00372279617829766
"54",0.00563309370516715
"55",0.00426258104915877
"56",0.00350300236137287
"57",0.00169401840405127
"58",0.00141653564496488
"59",0.000549160432007803
"60",0.00434041262101214
"61",0.00670524681379097
"62",0.00327339359268736
"63",0.00380200946227394
"64",0.00126413097479621
"65",0.00177950717377705
"66",0.00357014257346343
"67",0.00306467942492154
"68",0.00135451319810553
"69",0.00235576194900913
"70",0.0014107979480972
"71",0.00281563884701601
"72",0.00497933086478055
"73",0.0046318384606204
"74",0.00390719904139974
"75",0.0014462189926543
"76",0.00236567872958323
"77",0.00271962092957292
"78",0.00245330371469204
"79",0.00330144887288002
"80",0.00168629085816327
"81",0.00166366321472004
"82",0.00290476724060095
"83",0.00334876704163075
"84",0.00459121413944663
"85",0
"86",-0.00219487428398296
"87",-0.00204242019153233
"88",0.00182659214678326
"89",0.00372140824337749
"90",0.000254117188485729
"91",0.00125009782667856
"92",0.00327409085740891
"93",0.0017884223887384
"94",0.00178522964322609
"95",0.00137555600924638
"96",0.00469362008998485
"97",0.00350101348272081
"98",0.00264646812817354
"99",0.00372767414053711
"100",0.00253451746428096
"101",0.00378029191770438
"102",0.00231051956885632
"103",0.00394582094999344
"104",0.00336710155123112
"105",0.00316862392588707
"106",0.00188889256748945
"107",0.0018480325585089
"108",0.00387164507148189
"109",0.00148511202761776
"110",0.00342589755542818
"111",0.00485021559590991
"112",0.00290254635668578
"113",0.00424675725197765
"114",0.00484703658554681
"115",0.00295860889033881
"116",0.00486355020830666
"117",0.00325923813529759
"118",0.00231641615891987
"119",0.00311599256435973
"120",0.00511847599203908
"121",0.0033209936664719
"122",0.00371635800339757
"123",0.00663728988330703
"124",0.0036431827029843
"125",0.00218304472869205
"126",0.0023871558020581
"127",0.000121818577483645
"128",0.00222492704333748
"129",0.00389904577556931
"130",0.00217684340133006
"131",0.00289510619419489
"132",0.00754293600844149
"133",0.00439658524920847
"134",0.0037676973391515
"135",0.00209831704030762
"136",0.00224573110161792
"137",0.004409222740564
"138",0.0024653893796659
"139",0.00662801374629155
"140",0.00612140165144119
"141",0.00570600842327422
"142",0.00126541730457743
"143",0.000935707142709464
"144",0.00379948378011204
"145",0.000506598041638883
"146",0.000212367985507668
"147",0.00181146165908454
"148",0.00413284240769838
"149",0.0016872712397059
"150",0.00157114312711895
"151",0.00232787573397651
"152",0.00343341058621699
"153",0.00186489234460236
"154",0.00219803228311058
"155",0.00249700009692048
"156",0.00135792529912526
"157",0.00253517893984126
"158",0.00241757310820779
"159",0.0026969588324153
"160",0.00132993480757261
"161",0.00177049952191635
"162",0.00329551934582851
"163",0.00133718252012306
"164",0.00163365362042389
"165",0.00352524042917332
"166",0.0019687198746346
"167",0.0017467253349418
"168",0.00242786560570389
"169",0.00150666767654116
"170",0.00204667099895322
"171",0.00266060453637479
"172",0.00308485121165289
"173",0.000338753390773102
"174",0.00159982805208521
"175",0.00170468984450778
"176",0.00104288089937845
"177",0.00313741352082455
"178",0.00189298583357626
"179",0.000228747456182013
"180",0.000335401646612379
"181",0.00231425194640151
