"","1","2","3","4","5","6","7","8","10","14","15","16","20","22","23","24","26","29","30","31","32","33","36","37","38","39","42","47","48","49","52","54","56","59","61","63","68","70","82","85","88","89","90","91","92","93","94","95","96","97","98","99","101","102","103","107","108","110","112"
"1",0.012,0.012,0.008,0.013,0.011,0.011,0.008,0.01269,0.011,0.013,0.012885,0.016,0.009,0.01205,0.014,0.014,0.014,0.011,0.010949,0.017,0.012,0.016,0.012,0.018,0.012,0.013,0.01168,0.01,0.01302,0.00999400000000001,0.01,0.008,0.009,0.014,0.015,0.014,0.005,0.01,0.0117571446832,0.005,0.014,0.012,0.007,0.014,0.0133,0.015,0.014,0.008,0.012788,0.0106732577824,0.011403,0.013264,0.01035,0.0127964213696,0.0149,0.0127673126569,0.0125274598122,0.0122310458488,0.00895000000000001
"2",0.014,0.012,0.011,0.017,0.014,0.016472,0.014,0.01702,0.01423720372,0.013,0.0157725,0.019,0.018,0.01453,0.018,0.018,0.013,0.016,0.015529,0.021,0.014,0.018,0.014,0.02,0.02,0.017,0.016,0.013,0.012,0.01204,0.015017,0.015,0.014,0.017,0.016,0.01543,0.01435,0.016,0.01422,0.01,0.015,0.015,0.012,0.01352,0.0169,0.01633,0.015,0.01,0.015213,0.0127517740237,0.015286,0.015294,0.016027256705,0.012718,0.01678,0.0158830604976,0.0184116164312,0.01468623186,0.01655
"3",0.015,0.01471,0.012,0.0149,0.014,0.017098,0.013,0.01684,0.015,0.013,0.0157725,0.015,0.016,0.01476,0.019,0.0148075139447,0.017,0.013,0.015589,0.015,0.015,0.015,0.014,0.019,0.018,0.016,0.018,0.012,0.013,0.012076,0.017,0.016,0.017,0.014,0.01478,0.01463,0.014545,0.017,0.01329,0.01,0.017,0.0155500316436,0.014,0.012,0.0152769966615,0.01637,0.019,0.011,0.014836,0.0128855389199,0.014387,0.014813,0.01609451341,0.01247,0.01673,0.0166200865864,0.0165675063956,0.0148259878628,0.01632
"4",0.018,0.016,0.013,0.017,0.015,0.016294,0.014,0.01735,0.014640766272,0.015,0.0164325,0.014,0.01591,0.01403,0.017,0.016,0.015,0.01549,0.018,0.016,0.017,0.018,0.015,0.019,0.018,0.016,0.015,0.012,0.01346,0.013,0.017,0.016,0.01486362673,0.017,0.016,0.01506,0.01511,0.019,0.01387,0.008,0.012,0.015,0.012,0.011,0.0177,0.01631,0.013,0.014,0.014894,0.0132159135444,0.01483,0.015437,0.01646451341,0.012746,0.01671,0.0163540391162,0.0169832465548,0.0149783931692,0.01675
"5",0.019,0.01917,0.018,0.018,0.016,0.017708,0.018,0.01866,0.016,0.011,0.019,0.013,0.01717,0.01445,0.016,0.018,0.016,0.016,0.018,0.01623,0.016,0.022,0.02,0.018,0.019,0.016,0.014,0.016,0.017,0.016,0.015287,0.017,0.016233078371,0.013849,0.017,0.01452,0.017795,0.018,0.01415,0.013,0.01541,0.018,0.014,0.011,0.0192,0.01773,0.015,0.016,0.01773,0.015076,0.015382,0.016671,0.017517256705,0.014562,0.01675,0.0171769310829,0.0175156717533,0.0161232858588,0.01733
"6",0.019,0.02,0.02,0.015,0.016,0.018278,0.021,0.01839,0.016,0.016,0.021,0.009,0.018,0.012,0.016,0.017,0.015,0.01621,0.017106,0.019,0.018,0.02,0.02,0.018,0.019,0.018,0.015,0.017631,0.014,0.014692,0.015794,0.01672,0.018,0.012,0.014,0.01411,0.017745,0.019,0.014,0.016,0.01544,0.017,0.016,0.015884,0.0144,0.01797,0.017,0.015,0.017,0.0148350247747,0.015088,0.016456,0.017757256705,0.013774,0.0165,0.0172882889033,0.0181079893547,0.0164781494462,0.01761
"7",0.02,0.02124,0.019,0.018,0.017,0.020256,0.02,0.01905,0.019,0.017,0.02,0.01725,0.018,0.01,0.0169,0.0174731097044,0.019,0.01588,0.016,0.015,0.018,0.021,0.022,0.022,0.01888,0.021,0.01695,0.018885,0.011,0.01512,0.01743,0.016,0.015,0.016,0.01685,0.01608,0.01843,0.021,0.0157,0.018,0.01721,0.018,0.015,0.015,0.017266,0.02,0.015,0.019,0.021,0.0162333498498,0.015663,0.0179,0.01845,0.014302,0.01676,0.0179364070084,0.0194152772907,0.0183958623499,0.01984
"8",0.019,0.025,0.01952,0.015,0.019,0.025,0.018,0.01898,0.024,0.0181,0.02,0.017,0.018,0.008,0.018,0.018,0.016,0.013,0.018,0.018,0.019,0.024,0.022,0.02,0.02,0.017,0.017,0.019115,0.016,0.0153,0.017,0.016,0.016,0.014,0.014,0.01569,0.01875,0.021,0.0156446430854,0.019,0.01728,0.018,0.017,0.013,0.014,0.02,0.019,0.019,0.02,0.0166876749249,0.015441,0.01741,0.01856150447,0.015522,0.01694,0.0168126139359,0.0186847377513,0.018184477379,0.02086
"9",0.017,0.023,0.019,0.017,0.015,0.018876,0.017,0.01822,0.016,0.015,0.02,0.015,0.019,0.015,0.018,0.015,0.018,0.014,0.019,0.016,0.019,0.023,0.021,0.018,0.019,0.013,0.016,0.01813,0.017,0.008,0.01665,0.017,0.012,0.012,0.015,0.01497,0.02,0.02,0.018,0.018,0.01602,0.019,0.02,0.011,0.0155,0.018,0.009,0.017,0.018,0.0151193498498,0.014907,0.016766,0.017447256705,0.014662,0.0168,0.017330449149,0.0187095475376,0.0175741191959,0.01764
